date,money,N_risky,N_safe,wealth,signal_risky,signal_safe,trade_risky,trade_safe,trade_cash_risky,trade_cash_safe
2019-10-08,117.21700499612064,1629.5056828936729,313.42420510046713,101769.1130369377,1,1,0.9659909813771956,0.8892290923066158,-52.096446664942505,-39.07233499870688
2019-10-09,3517.6035306748404,1693.9747720518446,156.71210255023357,102863.32354697063,1,-1,64.46908915817178,-156.71210255023357,-3517.6035306748404,6917.98888418351
2019-10-10,1978.6717725244578,1709.877858649696,171.7002807790363,104087.28217220769,1,1,15.903086597851347,14.988178228802711,-879.4096766775368,-659.5572575081526
2019-10-11,2865.597611104273,1760.356174801344,85.85014038951815,106551.55456218528,1,-1,50.47831615164788,-85.85014038951815,-2865.597611104273,3752.5036629663628
2019-10-14,2370.939049281783,1802.1811381706145,42.92507019475907,106407.74979489758,1,-1,41.824963369270506,-42.92507019475907,-2370.939049281783,1876.2518314831814
2019-10-15,3312.785161829606,1802.1811381706145,21.462535097379536,106176.94863465716,0,-1,0.0,-21.462535097379536,0.0,941.8224031573301
2019-10-16,1863.4602879456888,1816.8847322726583,35.62286132810465,105765.16064746244,1,1,14.70359410204384,14.160326230725113,-828.2045724203061,-621.1534293152296
2019-10-17,1048.2068939335697,1825.1235963882643,43.54370179740922,106171.31028756345,1,1,8.238864115605962,7.920840469304571,-465.8697306371421,-349.40229797785656
2019-10-18,1013.1441385970387,1842.955316875123,21.77185089870461,106702.33241987124,1,-1,17.83172048685864,-21.77185089870461,-1013.1441385970387,978.0709011915683
2019-10-21,569.899276896614,1847.3372968232384,26.04338918256775,108508.4814294237,1,1,4.3819799481154735,4.2715382838631415,-253.2885675096062,-189.96642563220465
2019-10-22,320.57154893777795,1849.8078346877026,28.46310905510602,108256.19154322654,1,1,2.470537864464096,2.4197198725382703,-142.47624397234574,-106.8571829792593
2019-10-23,479.1370329159181,1858.0060570171026,14.23155452755301,109706.1711449393,1,-1,8.198222329400004,-14.23155452755301,-479.1370329159181,637.6993111785688
2019-10-24,269.5172761610141,1860.0522676968758,16.237597239373905,109884.42257095575,1,1,2.0462106797732447,2.006042711820893,-119.78545607156182,-89.83909205367137
2019-10-25,151.60498387524882,1861.189269157539,17.384062449647846,111214.05801330479,1,1,1.137001460663235,1.1464652102739405,-67.37999283344392,-50.534994625082945
2019-10-28,85.27865620786176,1861.8224958670644,18.031122369488525,112316.32617222643,1,1,0.6332267095253714,0.6470599198406772,-37.901624981271894,-28.42621873595392
2019-10-29,42.63975449721192,1862.5517491466012,18.031122369488525,109736.61143354334,1,0,0.7292532795367647,0.0,-42.63975449721192,0.0
2019-10-30,220.7207875406475,1866.3271270557298,9.015561184744262,109731.03451435275,1,-1,3.7753779091286677,-9.015561184744262,-220.7207875406475,398.8013941865381
2019-10-31,124.15668454604413,1867.2501126878165,9.942727307896135,112201.62096788554,1,1,0.9229856320867385,0.9271661231518723,-55.18074868713073,-41.385561515348044
2019-11-01,69.8388334385004,1867.7549689832513,10.469391788629085,115365.57274605149,1,1,0.5048562954348849,0.5266644807329509,-31.0394815282224,-23.2796111461668
2019-11-04,34.91976591341739,1867.7549689832513,11.270695014052112,116113.1640447173,0,1,0.0,0.8013032254230267,0.0,-34.91976591341739
2019-11-05,17.460057555538263,1867.7549689832513,11.676853662315239,115940.42064697573,0,1,0.0,0.4061586482631268,0.0,-17.460057555538263
2019-11-06,135.13175407571956,1869.9407511073648,5.838426831157619,115993.40683219528,1,-1,2.185782124113641,-5.838426831157619,-135.13175407571956,252.8032759953253
2019-11-07,76.01237178370893,1870.4809672268605,6.429296144253101,117325.2208293543,1,1,0.540216119495751,0.5908693130954813,-33.78327634831508,-25.33745726123631
