date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,target_sigma,p_target
2021-10-19,912.0054361160443,2918.852315095501,270804.80640973063,0.48952116909828375,-1,0.17548184953871426,0.010349808899685026,0.01563098729009121,0.4895211690982838
2021-10-20,1428.2921558704452,1342.96958483417,272475.7474422384,0.764498854988384,1,0.17845762462451611,0.010327885007502575,0.021087512021954028,0.764498854988384
2021-10-21,1428.1888560023826,1343.2869827593067,272453.96927300876,0.7656317469727614,0,0.17897204142735387,0.010330778308142434,0.021113869157793713,0.7656317469727614
2021-10-22,1653.0715486688505,657.2294237088668,271468.9298223337,0.8847029251435226,1,0.178960003977876,0.010330746721451105,0.02382609992657779,0.8847029251435226
2021-10-25,1761.2663456348726,325.9280898971192,271261.7512289489,0.9430102984839352,1,0.17898698017634812,0.010329036087269797,0.025201295240173525,0.9430102984839352
2021-10-26,1814.633870385402,162.48807218493602,272500.4300355798,0.9715923556626858,1,0.1791340228772603,0.01032821164829882,0.025884447398731525,0.9715923556626858
2021-10-27,1841.8509518542885,80.96854560797512,271816.2935440868,0.9855351518404187,1,0.17829800057106454,0.01030717065387624,0.026218435741429368,0.9855351518404187
2021-10-28,1855.2502172605925,40.21432117597612,278547.9275720354,0.9929237606989328,1,0.17734604032479648,0.010326717683173867,0.026396081378657774,0.992923760698933
2021-10-29,1862.0579268465178,20.00343000124266,273538.1636408912,0.9963945606980513,1,0.18074586043445778,0.010318735181408072,0.026480444763002008,0.9963945606980513
2021-11-01,1865.4392007024499,9.985769876365937,272006.31416478264,0.998196440290448,1,0.18036409199542391,0.010293270688781497,0.026524322912769967,0.9981964402904481
2021-11-02,1867.2501167833861,4.575668701898958,273937.83393411327,0.9991804245663319,1,0.18058848141865874,0.01029167290582214,0.026546356533940607,0.999180424566332
2021-11-03,1867.2408260836494,4.603601972725362,276620.6010048042,0.9991806525968491,0,0.18081646632956613,0.010288163424904741,0.02654828579862825,0.999180652596849
2021-11-04,1867.2554998017758,4.559879330917435,275654.86479194864,0.9991811061806991,0,0.18126995946307875,0.010289399849461535,0.026547986846708886,0.9991811061806992
2021-11-05,1867.241641411357,4.601145512118908,276642.5019760616,0.9991731538432386,0,0.1733192124700044,0.010181473860320384,0.026548163641445854,0.9991731538432386
