Date,price,macd,signal,cross_signal
2002-01-02,0.3490687310695648,0.00788481915136735,0.006867556278007936,1.0
2002-01-09,0.32434943318367004,0.008128899173075521,0.008629576521138386,-1.0
2002-01-24,0.3477204740047455,0.00450139970395802,0.003690896467272939,1.0
2002-02-14,0.36854517459869385,0.010869989273801117,0.010997968991014817,-1.0
2002-03-06,0.36060449481010437,0.0008795660685814721,0.0008074610015052515,1.0
2002-03-22,0.3609048128128052,0.00446828237280289,0.00490158386900488,-1.0
2002-04-05,0.37064266204833984,0.002045210361934724,0.0017308485194105002,1.0
2002-04-23,0.36330166459083557,0.0034122353125479177,0.004244898244204335,-1.0
2002-05-14,0.38367587327957153,-0.0007213775064741634,-0.0024821233318767177,1.0
2002-05-28,0.3592562973499298,0.0007541983344352965,0.0008979018731065648,-1.0
2002-07-03,0.26292547583580017,-0.022788162557523528,-0.023508867445871634,1.0
2002-07-18,0.22457316517829895,-0.01578893238521789,-0.015689477780134464,-1.0
2002-07-30,0.23116479814052582,-0.017773617864938612,-0.01832258226819025,1.0
2002-08-30,0.22097733616828918,-0.0042552720187082615,-0.0041694793812778385,-1.0
2002-09-16,0.2172321230173111,-0.0055573075443184905,-0.005717856589680042,1.0
2002-10-03,0.2142353504896164,-0.0023632989390828807,-0.002333311774716248,-1.0
2002-10-14,0.22127676010131836,-0.0024717083536641427,-0.003209324242956048,1.0
2002-11-11,0.22711937129497528,0.005996464999987516,0.006269082395089322,-1.0
2003-01-02,0.22172647714614868,-0.004038861759819462,-0.0041303865478547475,1.0
2003-01-17,0.21123944222927094,-0.002039242789213608,-0.00202369374764292,-1.0
2003-01-28,0.21843017637729645,-0.002671332073476279,-0.0027568792395395994,1.0
2003-03-04,0.21813064813613892,0.0009585888478602367,0.0010844416228964534,-1.0
2003-03-17,0.2248726189136505,0.00028725042768823483,1.0215742615961722e-05,1.0
2003-03-25,0.2179805040359497,0.0004040296561240164,0.0005884679577055729,-1.0
2003-04-28,0.20764368772506714,-0.004091078593806363,-0.004293985285588669,1.0
2003-05-23,0.27446138858795166,0.015104020897621528,0.015409781796420944,-1.0
2003-06-18,0.2864467203617096,0.005520940959314269,0.005116878470438636,1.0
2003-07-03,0.28659605979919434,0.007131584586784867,0.007225765074022313,-1.0
2003-07-07,0.29768216609954834,0.007754673675400114,0.0073315467942978736,1.0
2003-07-15,0.2937875986099243,0.007790926713595492,0.008060423130782689,-1.0
