date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,trade_cash,trade_shares
2025-01-10,23.06390260253426,1711.4028038047693,235.56321716308594,403166.61422877957,0,1,-1,0,0.2,0.0,0.0
2025-01-13,79817.73169375287,1369.1222430438154,233.12649536132812,398996.40193579806,-1,1,-1,-1,0.2,79794.66756051131,-342.2805607609539
2025-01-14,79818.52987106981,1369.1222430438154,232.01258850097656,397472.1254539286,-1,0,1,0,0.2,0.0,0.0
2025-01-15,144600.064805815,1095.2977944350523,236.57762145996094,403723.01180360094,-1,1,-1,-1,0.2,64780.73674944648,-273.8244486087631
2025-01-16,194332.3793750796,876.2382355480419,227.0198516845703,393255.85364954564,-1,1,-1,-1,0.2,49730.86856861651,-219.05955888701047
2025-01-17,294545.53393116326,438.11911777402094,228.7305145263672,394756.74516345316,-1,0,-1,-1,0.5,100211.21123228988,-438.11911777402094
2025-01-21,313951.05542030284,350.49529421921676,221.4303741455078,391561.3595555038,-1,1,-1,-1,0.2,19402.57603380025,-87.62382355480419
2025-01-22,313954.19493085705,350.49529421921676,222.61392211914062,391979.32706129906,-1,0,1,0,0.2,0.0,0.0
2025-01-23,352940.2718769865,175.24764710960838,222.44485473632812,391923.2092811666,-1,0,-1,-1,0.5,38982.93740418013,-175.24764710960838
2025-01-24,372358.5790806833,87.62382355480419,221.5696258544922,391773.3568816613,-1,0,-1,-1,0.5,19414.777800978005,-87.62382355480419
2025-01-27,382378.19532043417,43.811911777402095,228.61117553710938,392394.0879743942,-1,-1,-1,-1,0.5,10015.89265396002,-43.811911777402095
2025-01-28,387572.9755583741,21.905955888701047,236.9655303955078,392763.93201436073,-1,-1,0,-1,0.5,5190.956455986641,-21.905955888701047
2025-01-29,387576.8512881297,21.905955888701047,238.05953979492188,392791.7730657617,0,0,0,0,0.2,0.0,0.0
2025-01-30,310064.58164531406,349.94837958701123,236.2991485595703,392757.0857815261,0,0,1,1,0.2,-77516.14541132851,328.0424236983102
2025-01-31,326495.50638994854,279.958703669609,234.7178192138672,392206.80278522044,0,0,-1,-1,0.2,16427.824098817975,-69.98967591740225
2025-02-03,163249.38567250624,999.8446047986248,226.7711944580078,389985.34097508516,0,1,1,1,0.5,-163249.38567250624,719.8859011290158
2025-02-04,163251.01816636298,999.8446047986248,231.5352020263672,394750.24073338584,0,1,-1,0,0.2,0.0,0.0
2025-02-05,209486.8620800578,799.8756838388998,231.2069854736328,394423.7076941104,0,0,-1,-1,0.2,46234.21140351316,-199.96892095972498
2025-02-06,246595.65566989145,639.9005470711198,231.95291137695312,395022.4505547427,0,0,-1,-1,0.2,37106.69872121283,-159.97513676778
2025-02-07,123299.06081322409,1184.5237981529795,226.393310546875,391467.3248986355,0,1,1,1,0.5,-123299.06081322409,544.6232510818595
2025-02-10,123300.29380383223,1184.5237981529795,226.662109375,391786.9564980733,0,0,0,0,0.2,0.0,0.0
2025-02-11,123301.52680677027,1184.5237981529795,231.61053466796875,397649.7170239149,0,1,-1,0,0.2,0.0,0.0
2025-02-12,61651.379911019176,1445.9333572390178,235.84210205078125,402663.34230761236,0,1,1,1,0.5,-61651.379911019176,261.4095590860383
