date,N_risky,N_safe,wealth,p_curr,signal,trade_risky,trade_safe
2025-03-03,1663.7195594373416,1.2513167464933863,394383.96295715263,0.9997786381874029,1,0.36836551938952267,-1.2513167464933863
2025-03-04,1663.8999087036952,0.6256583732466932,390902.7261395286,0.9998916222547021,1,0.18034926635372245,-0.6256583732466932
2025-03-05,831.9499543518476,2888.9862516640765,390587.9110970758,0.4999458524483611,-1,-831.9499543518476,2888.36059329083
2025-03-06,1250.9999259301785,1444.4931258320382,391307.37425575894,0.7490793705005477,1,419.0499715783309,-1444.4931258320382
2025-03-07,1460.0864524964495,722.2465629160191,397317.5210545453,0.8747364538073952,1,209.08652656627103,-722.2465629160191
2025-03-10,1569.9868921581974,361.12328145800956,380482.4587584349,0.9345786841890851,1,109.90043966174797,-361.12328145800956
2025-03-11,1626.2645145563029,180.56164072900478,369960.1460330732,0.966552027933176,1,56.27762239810544,-180.56164072900478
2025-03-12,1654.460444048283,90.28082036450239,363518.4270867442,0.9832432040579642,1,28.195929491980237,-90.28082036450239
2025-03-13,1668.9824810630755,45.140410182251195,351465.3738730254,0.9913739245372665,1,14.522037014792419,-45.140410182251195
2025-03-14,834.4912405315378,2684.3032807438576,357798.8061128758,0.49576024258450657,-1,-834.4912405315378,2639.1628705616063
2025-03-17,417.2456202657689,3988.9278233242903,360726.8869415027,0.24645539562117075,-1,-417.2456202657689,1304.624542580433
2025-03-18,208.62281013288444,4644.161918690812,357314.01613535214,0.12364316492453632,-1,-208.62281013288444,655.2340953665213
2025-03-19,104.31140506644222,4976.185343426046,357392.3914435618,0.06254905171151437,-1,-104.31140506644222,332.0234247352339
2025-03-20,52.15570253322111,5140.299208645977,359353.46773814596,0.030939118604562898,-1,-52.15570253322111,164.1138652199314
2025-03-21,841.3965079489471,2570.1496043229886,354374.69108890276,0.5159924288821781,1,789.2408054157261,-2570.1496043229886
2025-03-24,420.6982539744736,3949.960934025697,357134.8759870052,0.25888748363470804,-1,-420.6982539744736,1379.8113297027085
2025-03-25,210.3491269872368,4650.728646172554,357862.4969424906,0.13094799383679803,-1,-210.3491269872368,700.7677121468575
2025-03-26,927.7447728383223,2325.364323086277,362866.4251488358,0.5639304476984434,1,717.3956458510855,-2325.364323086277
2025-03-27,463.87238641916116,3829.2418469765666,366636.5765047701,0.2819883485274109,-1,-463.87238641916116,1503.8775238902895
2025-03-28,463.87238641916116,3829.2418469765666,362511.576674146,0.27761641821009536,0,0.0,0.0
2025-03-31,463.87238641916116,3829.2418469765666,369116.97299494536,0.2779412578698046,0,0.0,0.0
2025-04-01,1065.6470195375366,1914.6209234882833,370536.8842008101,0.6390987053815372,1,601.7746331183755,-1914.6209234882833
2025-04-02,1065.6470195375366,1914.6209234882833,370274.8135197015,0.6415568873189161,0,0.0,0.0
2025-04-03,1402.1748778956091,957.3104617441417,351753.8953192987,0.8064488820652709,1,336.52785835807254,-957.3104617441417
2025-04-04,1575.6070452663141,478.65523087207083,328054.2206966717,0.9008414642063846,1,173.432167370705,-478.65523087207083
2025-04-07,1663.6218307144227,239.32761543603542,316472.6745141536,0.949752828505646,1,88.0147854481085,-239.32761543603542
2025-04-08,1663.6218307144227,239.32761543603542,301510.38551441376,0.9472207757899681,0,0.0,0.0
2025-04-09,831.8109153572113,2661.9428049979347,345645.0110023886,0.47646524873036145,-1,-831.8109153572113,2422.615189561899
2025-04-10,1314.5607593908621,1330.9714024989673,340758.69266931596,0.7314043309409951,1,482.74984403365073,-1330.9714024989673
2025-04-11,657.2803796954311,3199.0108219227986,351742.7889674643,0.3686640807665205,-1,-657.2803796954311,1868.0394194238313
2025-04-14,328.64018984771553,4140.189671942014,357773.7099849224,0.18522152958430835,-1,-328.64018984771553,941.1788500192148
2025-04-15,164.32009492385777,4613.752438769954,355275.5248973286,0.09308697175021698,-1,-164.32009492385777,473.56276682794044
2025-04-16,995.116585730625,2306.876219384977,353180.8364991897,0.5449966915280188,1,830.7964908067672,-2306.876219384977
2025-04-17,995.116585730625,2306.876219384977,358825.1800382085,0.5439067507781922,0,0.0,0.0
2025-04-21,995.116585730625,2306.876219384977,354524.7010663917,0.5398286918811671,0,0.0,0.0
2025-04-22,497.5582928653125,3684.6769747860176,363577.5317507515,0.27215937112875577,-1,-497.5582928653125,1377.8007554010405
2025-04-23,497.5582928653125,3684.6769747860176,363836.63262714865,0.2785829050457058,0,0.0,0.0
2025-04-24,497.5582928653125,3684.6769747860176,362911.1736402769,0.2844396207775558,0,0.0,0.0
2025-04-25,497.5582928653125,3684.6769747860176,361177.6884694291,0.28705295434644273,0,0.0,0.0
2025-04-28,248.77914643265626,4430.748783268566,361173.99809806433,0.14411776403288137,-1,-248.77914643265626,746.0718084825485
2025-04-29,989.4909960459421,2215.374391634283,363850.3377789853,0.5718930578159662,1,740.7118496132858,-2215.374391634283
2025-04-30,989.4909960459421,2215.374391634283,365551.82786232594,0.5727077856516993,0,0.0,0.0
2025-05-01,989.4909960459421,2215.374391634283,363646.98507146846,0.5779293062568742,0,0.0,0.0
2025-05-02,989.4909960459421,2215.374391634283,356570.04219716904,0.5673786621627754,0,0.0,0.0
2025-05-05,1379.2548095284528,1107.6871958171414,350313.27615976526,0.7796722949026326,1,389.7638134825107,-1107.6871958171414
2025-05-06,689.6274047642264,3063.2802942288,349812.97123791487,0.3896478244060287,-1,-689.6274047642264,1955.5930984116585
2025-05-07,1241.1506547702202,1531.6401471144,350285.54317013116,0.6923460264934004,1,551.5232500059939,-1531.6401471144
2025-05-08,620.5753273851101,3295.908359764431,349987.0400516094,0.3486574405857562,-1,-620.5753273851101,1764.268212650031
2025-05-09,310.28766369255504,4190.861417442679,348547.66090143466,0.17597044918886245,-1,-310.28766369255504,894.9530576782485
2025-05-12,984.046612641383,2095.4307087213397,348388.66342121793,0.5935838529202783,1,673.758948948828,-2095.4307087213397
2025-05-13,492.0233063206915,3653.9648739121826,349327.3515464729,0.2989994153474295,-1,-492.0233063206915,1558.534165190843
2025-05-14,492.0233063206915,3653.9648739121826,349743.27155825193,0.2978023203932627,0,0.0,0.0
2025-05-15,492.0233063206915,3653.9648739121826,358011.6325644934,0.28971878793051914,0,0.0,0.0
2025-05-16,1098.981269832888,1826.9824369560913,359303.3251327785,0.6442089192579004,1,606.9579635121966,-1826.9824369560913
2025-05-19,1405.7665638527926,913.4912184780457,356461.8314463495,0.8208607274520796,1,306.7852940199046,-913.4912184780457
2025-05-20,1560.066386188666,456.7456092390228,353557.895164677,0.9099959964395993,1,154.29982233587336,-456.7456092390228
2025-05-21,1639.2135496437836,228.3728046195114,346209.96023239207,0.953940309009752,1,79.1471634551177,-228.3728046195114
2025-05-22,1639.2135496437836,228.3728046195114,344859.3670818206,0.9542168511493208,0,0.0,0.0
2025-05-23,819.6067748218918,2516.0207012066453,335046.72242538363,0.4762293338965558,-1,-819.6067748218918,2287.647896587134
