date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2023-08-28,268731.57901139103,557.4474242464563,178.1027069091797,368014.4742292348,0,0,0,0,0.5,0.0,0.0
2023-08-29,268734.2663271812,557.4474242464563,181.98715209960938,370182.53551105654,0,1,-1,0,0.5,0.0,0.0
2023-08-30,134368.47683492224,1281.8983953028355,185.47628784179688,372130.2325860485,0,1,0,1,0.5,-134368.47683492224,724.4509710563792
2023-08-31,134369.8205196906,1281.8983953028355,185.69375610351562,372410.3484865434,0,0,0,0,0.5,0.0,0.0
2023-09-01,67185.5821089479,1640.6705490150835,187.26531982421875,374426.2771964341,1,0,1,1,0.5,-67185.5821089479,358.77215371224804
2023-09-05,33593.1269823845,1819.8314580357332,187.50254821777344,374816.1626909505,1,0,0,1,0.5,-33593.1269823845,179.16090902064974
2023-09-06,16796.73145682716,1912.7382564572008,180.79119873046875,362602.97369935125,1,1,0,1,0.5,-16796.73145682716,92.90679842146767
2023-09-07,16796.89942414173,1912.7382564572008,175.503173828125,352488.53413485456,0,1,-1,0,0.5,0.0,0.0
2023-09-08,8398.533696567987,1960.425776500483,176.115966796875,353660.8146584649,0,0,1,1,0.5,-8398.533696567987,47.687520043282134
2023-09-11,182173.03075733694,980.2128882502415,177.28231811523438,355947.44383276894,-1,0,0,-1,0.5,173774.41307543198,-980.2128882502415
2023-09-12,267579.71437617985,490.10644412512073,174.25778198242188,352984.5762647152,-1,1,-1,-1,0.5,85404.86188853532,-490.10644412512073
2023-09-13,133791.1950866618,1267.0949563628908,172.19198608398438,351974.79217978753,-1,1,1,1,0.5,-133791.1950866618,776.98851223777
2023-09-14,243842.4154978142,633.5474781814454,173.70423889160156,353892.2979970157,-1,0,0,-1,0.5,110049.88249920151,-633.5474781814454
2023-09-15,298641.22950078774,316.7737390907227,172.98269653320312,353437.6050796063,-1,0,0,-1,0.5,54796.37557881855,-316.7737390907227
2023-09-18,149322.10795654138,1165.6364471088273,175.90843200683594,354367.3876574744,-1,1,1,1,0.5,-149322.10795654138,848.8627080181046
2023-09-19,252479.90110625705,582.8182235544136,176.99566650390625,355636.2010348931,-1,0,0,-1,0.5,103156.29992863607,-582.8182235544136
2023-09-20,252482.42590526812,582.8182235544136,173.4571533203125,353576.4158662182,-1,1,0,0,0.5,0.0,0.0
2023-09-21,302582.6040293758,291.4091117772068,171.91519165039062,352680.25732922443,-1,1,-1,-1,0.5,50097.653299848615,-291.4091117772068
2023-09-22,302585.62985541613,291.4091117772068,172.76524353027344,352930.99601854593,-1,0,1,0,0.5,0.0,0.0
2023-09-25,327947.124552378,145.7045558886034,174.0403289794922,353305.59339304134,-1,0,-1,-1,0.5,25358.468840663343,-145.7045558886034
2023-09-26,340332.9646167797,72.8522779443017,169.9680633544922,352715.52520993585,-1,1,-1,-1,0.5,12382.560593156146,-72.8522779443017
2023-09-27,170168.18397321296,1083.0178548412691,168.4557342529297,352608.7519195317,-1,1,1,1,0.5,-170168.18397321296,1010.1655768969674
2023-09-28,261529.34773449678,541.5089274206346,168.71275329589844,352888.8098139409,-1,0,-1,-1,0.5,91359.46207944409,-541.5089274206346
2023-09-29,261531.96302797415,541.5089274206346,169.22671508789062,353169.74000613514,-1,0,1,0,0.5,0.0,0.0
2023-10-02,261534.57834760446,541.5089274206346,171.73731994628906,354531.8702698138,-1,0,1,0,0.5,0.0,0.0
2023-10-03,261537.19369338796,541.5089274206346,170.40292358398438,353811.8980726917,-1,0,1,0,0.5,0.0,0.0
2023-10-04,261539.80906532492,541.5089274206346,171.64833068847656,354488.9125099843,0,0,0,0,0.5,0.0,0.0
2023-10-05,261542.4244634156,541.5089274206346,172.8838653564453,355160.5809609177,0,0,0,0,0.5,0.0,0.0
2023-10-06,309044.57176484645,270.7544637103173,175.43397521972656,356544.1036420326,0,0,-1,-1,0.5,47499.53187718616,-270.7544637103173
2023-10-09,309047.6622105641,270.7544637103173,176.9166259765625,356948.6283982871,0,0,0,0,0.5,0.0,0.0
2023-10-10,309050.75268718624,270.7544637103173,176.3235321044922,356791.1360616469,0,0,0,0,0.5,0.0,0.0
2023-10-11,154526.92159735656,1140.2646399425134,177.7172088623047,357171.57077232085,0,0,1,1,0.5,-154526.92159735656,869.5101762321962
2023-10-12,154528.46686657253,1140.2646399425134,178.61668395996094,358198.7556899031,0,0,0,0,0.5,0.0,0.0
2023-10-13,77265.00607562061,1577.3377264741168,176.77822875976562,356103.9755176706,1,1,0,1,0.5,-77265.00607562061,437.07308653160334
2023-10-16,77265.77872568138,1577.3377264741168,176.64974975585938,355902.0933878103,1,0,-1,0,0.5,0.0,0.0
2023-10-17,38633.27569173432,1797.9758316267598,175.09793090820312,353455.1236325358,1,1,1,1,0.5,-38633.27569173432,220.6381051526429
2023-10-18,38633.66202449124,1797.9758316267598,173.80311584472656,351127.4637747356,1,0,-1,0,0.5,0.0,0.0
2023-10-19,19317.024180555745,1909.3596869478938,173.42750549316406,350452.51177713764,0,0,1,1,0.5,-19317.024180555745,111.38385532113392
2023-10-20,19317.217350797553,1909.3596869478938,170.87738037109375,345583.5988426253,-1,1,0,0,0.5,0.0,0.0
2023-10-23,182563.83256806893,954.6798434739469,170.99598693847656,345810.2546131668,-1,0,-1,-1,0.5,163246.42204509786,-954.6798434739469
2023-10-24,264396.47451137257,477.33992173697345,171.430908203125,346227.29081635055,-1,0,-1,-1,0.5,81830.81630497797,-477.33992173697345
2023-10-25,304762.50765691896,238.66996086848673,169.11801147460938,345125.89683772024,-1,1,-1,-1,0.5,40363.38918080131,-238.66996086848673
2023-10-26,152382.77764099778,1162.4440504505537,164.95675659179688,344135.7779227522,-1,1,1,1,0.5,-152382.77764099778,923.774089582067
2023-10-27,249024.87053572614,581.2220252252769,166.27134704589844,345665.43960267806,-1,0,0,-1,0.5,96640.56906695194,-581.2220252252769
2023-10-30,249027.3607844315,581.2220252252769,168.3173828125,346857.130903331,-1,0,1,0,0.5,0.0,0.0
2023-10-31,249029.85105803938,581.2220252252769,168.79183959960938,347135.3859116244,-1,0,1,0,0.5,0.0,0.0
2023-11-01,124516.17067827498,1305.3437206682233,171.9547576904297,348976.23386850324,-1,1,1,1,0.5,-124516.17067827498,724.1216954429465
2023-11-02,62258.707919990884,1660.0678237762836,175.51304626464844,353622.268676892,0,1,1,1,0.5,-62258.707919990884,354.72410310806015
2023-11-03,62259.33050707009,1660.0678237762836,174.60369873046875,352113.31268184923,0,0,0,0,0.5,0.0,0.0
2023-11-06,31129.97655018758,1835.7906987023034,177.15380859375,356347.290606282,0,0,1,1,0.5,-31129.97655018758,175.72287492601978
2023-11-07,15565.143924976543,1922.4014212541767,179.7138214111328,361047.24962475756,1,0,1,1,0.5,-15565.143924976543,86.61072255187337
