,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
66,DDHUU,D,5,14,0.0010094891984655764,0.35714285714285715,0.018987676440124227,0.00012876137735530312
67,DDHUU,U,5,14,0.0010094891984655764,0.35714285714285715,0.018987676440124227,0.00012876137735530312
68,DDHUU,H,4,14,0.0008075913587724611,0.2857142857142857,0.015190141152099382,6.592582520591519e-05
69,DDHUH,D,6,16,0.0012113870381586917,0.375,0.021313613942959306,0.000170351302241066
70,DDHUH,U,5,16,0.0010094891984655764,0.3125,0.017761344952466087,9.858292953765395e-05
71,DDHUH,H,5,16,0.0010094891984655764,0.3125,0.017761344952466087,9.858292953765395e-05
72,DDHHD,D,2,15,0.0004037956793862306,0.13333333333333333,0.007337535275428942,7.17858985575521e-06
73,DDHHD,U,8,15,0.0016151827175449223,0.5333333333333333,0.029350141101715767,0.00045942975076833343
74,DDHHD,H,5,15,0.0010094891984655764,0.3333333333333333,0.018343838188572353,0.00011216546649617514
75,DDHHU,D,5,19,0.0010094891984655764,0.2631578947368421,0.016298927947192822,6.990922427046927e-05
76,DDHHU,U,5,19,0.0010094891984655764,0.2631578947368421,0.016298927947192822,6.990922427046927e-05
77,DDHHU,H,9,19,0.0018170805572380376,0.47368421052631576,0.029338070304947082,0.0004077105959453768
78,DDHHH,D,2,15,0.0004037956793862306,0.13333333333333333,0.007337535275428942,7.17858985575521e-06
79,DDHHH,U,7,15,0.001413284877851807,0.4666666666666667,0.025681373464001296,0.00030778204006550467
80,DDHHH,H,6,15,0.0012113870381586917,0.4,0.022012605826286825,0.0001938219261053907
81,DUDDD,D,15,31,0.0030284675953967293,0.4838709677419355,0.03828038069507287,0.000709058490077278
82,DUDDD,U,14,31,0.002826569755703614,0.45161290322580644,0.03572835531540135,0.0005764908138583853
83,DUDDD,H,2,31,0.0004037956793862306,0.06451612903225806,0.005104050759343049,1.6807312357387328e-06
84,DUDDU,D,9,26,0.0018170805572380376,0.34615384615384615,0.025079661553922945,0.00021772710818976484
85,DUDDU,U,14,26,0.002826569755703614,0.5384615384615384,0.039012806861657916,0.0008195379765057815
86,DUDDU,H,3,26,0.0006056935190793458,0.11538461538461539,0.008359887184640981,8.063966969991292e-06
87,DUDDH,D,4,17,0.0008075913587724611,0.23529411764705882,0.013784828478503298,4.4710940278060136e-05
88,DUDDH,U,6,17,0.0012113870381586917,0.35294117647058826,0.020677242717754948,0.00015089942343845297
89,DUDDH,H,7,17,0.001413284877851807,0.4117647058823529,0.02412344983738077,0.0002396226955527285
90,DUDUD,D,10,37,0.0020189783969311527,0.2702702702702703,0.023359576986932355,0.00014747833432659992
91,DUDUD,U,19,37,0.0038360589541691905,0.5135135135135135,0.044383196275171476,0.0010115538951461487
92,DUDUD,H,8,37,0.0016151827175449223,0.21621621621621623,0.018687661589545886,7.550890717521916e-05
93,DUDUU,D,16,40,0.0032303654350898446,0.4,0.035946434788945866,0.0005168584696143752
94,DUDUU,U,16,40,0.0032303654350898446,0.4,0.035946434788945866,0.0005168584696143752
95,DUDUU,H,8,40,0.0016151827175449223,0.2,0.017973217394472933,6.46073087017969e-05
96,DUDUH,D,7,25,0.001413284877851807,0.28,0.01989270634676202,0.00011080153442358168
97,DUDUH,U,8,25,0.0016151827175449223,0.32,0.022734521539156595,0.00016539471027660006
98,DUDUH,H,10,25,0.0020189783969311527,0.4,0.028418151923945742,0.00032303654350898447
99,DUDHD,D,7,17,0.001413284877851807,0.4117647058823529,0.02412344983738077,0.0002396226955527285
100,DUDHD,U,4,17,0.0008075913587724611,0.23529411764705882,0.013784828478503298,4.4710940278060136e-05
101,DUDHD,H,6,17,0.0012113870381586917,0.35294117647058826,0.020677242717754948,0.00015089942343845297
102,DUDHU,D,8,21,0.0016151827175449223,0.38095238095238093,0.024805396628997393,0.0002344029340654762
103,DUDHU,U,7,21,0.001413284877851807,0.3333333333333333,0.021704722050372716,0.0001570316530946452
104,DUDHU,H,6,21,0.0012113870381586917,0.2857142857142857,0.018604047471748042,9.888873780887279e-05
105,DUDHH,D,6,16,0.0012113870381586917,0.375,0.021313613942959306,0.000170351302241066
106,DUDHH,U,3,16,0.0006056935190793458,0.1875,0.010656806971479653,2.129391278013325e-05
107,DUDHH,H,7,16,0.001413284877851807,0.4375,0.024865882933452526,0.00027051155865132244
108,DUUDD,D,12,38,0.0024227740763173833,0.3157894736842105,0.027660197946074352,0.0002416062790787418
109,DUUDD,U,17,38,0.00343226327478296,0.4473684210526316,0.039185280423605334,0.0006869280376816312
110,DUUDD,H,9,38,0.0018170805572380376,0.23684210526315788,0.020745148459555763,0.0001019276489863442
111,DUUDU,D,18,41,0.0036341611144760752,0.43902439024390244,0.03994352722696082,0.0007004569905355434
112,DUUDU,U,15,41,0.0030284675953967293,0.36585365853658536,0.03328627268913401,0.0004053570547080691
113,DUUDU,H,8,41,0.0016151827175449223,0.1951219512195122,0.01775267876753814,6.149416652163893e-05
114,DUUDH,D,5,18,0.0010094891984655764,0.2777777777777778,0.016745556611842974,7.789268506678831e-05
115,DUUDH,U,9,18,0.0018170805572380376,0.5,0.030142001901317352,0.0004542701393095094
116,DUUDH,H,4,18,0.0008075913587724611,0.2222222222222222,0.013396445289474378,3.988105475419561e-05
117,DUUUD,D,18,31,0.0036341611144760752,0.5806451612903226,0.045936456834087445,0.0012252530708535363
118,DUUUD,U,5,31,0.0010094891984655764,0.16129032258064516,0.012760126898357623,2.62614255584177e-05
119,DUUUD,H,8,31,0.0016151827175449223,0.25806451612903225,0.020416203037372196,0.0001075667990872789
120,DUUUU,D,15,30,0.0030284675953967293,0.5,0.0389131571283848,0.0007571168988491823
121,DUUUU,U,13,30,0.0026246719160104987,0.43333333333333335,0.03372473617793349,0.0004928550597841937
122,DUUUU,H,2,30,0.0004037956793862306,0.06666666666666667,0.005188420950451306,1.7946474639388025e-06
123,DUUUH,D,6,27,0.0012113870381586917,0.2222222222222222,0.016407227663161755,5.9821582131293414e-05
124,DUUUH,U,11,27,0.002220876236624268,0.4074074074074074,0.03007991738246322,0.000368622804707183
125,DUUUH,H,10,27,0.0020189783969311527,0.37037037037037035,0.027345379438602924,0.00027695176912635836
126,DUUHD,D,5,15,0.0010094891984655764,0.3333333333333333,0.018343838188572353,0.00011216546649617514
127,DUUHD,U,5,15,0.0010094891984655764,0.3333333333333333,0.018343838188572353,0.00011216546649617514
128,DUUHD,H,5,15,0.0010094891984655764,0.3333333333333333,0.018343838188572353,0.00011216546649617514
129,DUUHU,D,6,23,0.0012113870381586917,0.2608695652173913,0.017776782891019433,8.243843737941947e-05
130,DUUHU,U,10,23,0.0020189783969311527,0.43478260869565216,0.029627971485032392,0.0003816594323121272
131,DUUHU,H,7,23,0.001413284877851807,0.30434782608695654,0.020739580039522674,0.00013090918528305964
132,DUUHH,D,9,19,0.0018170805572380376,0.47368421052631576,0.029338070304947082,0.0004077105959453768
133,DUUHH,U,3,19,0.0006056935190793458,0.15789473684210525,0.009779356768315694,1.5100392442421363e-05
134,DUUHH,H,7,19,0.001413284877851807,0.3684210526315789,0.022818499126069952,0.00019183091139816767
135,DUHDD,D,6,20,0.0012113870381586917,0.3,0.019063475849057734,0.00010902483343428225
136,DUHDD,U,4,20,0.0008075913587724611,0.2,0.012708983899371824,3.230365435089845e-05
137,DUHDD,H,10,20,0.0020189783969311527,0.5,0.03177245974842956,0.0005047445992327882
138,DUHDU,D,8,23,0.0016151827175449223,0.34782608695652173,0.023702377188025914,0.00019540962934380912
139,DUHDU,U,7,23,0.001413284877851807,0.30434782608695654,0.020739580039522674,0.00013090918528305964
140,DUHDU,H,8,23,0.0016151827175449223,0.34782608695652173,0.023702377188025914,0.00019540962934380912
141,DUHDH,D,3,15,0.0006056935190793458,0.2,0.011006302913143412,2.4227740763173837e-05
142,DUHDH,U,3,15,0.0006056935190793458,0.2,0.011006302913143412,2.4227740763173837e-05
143,DUHDH,H,9,15,0.0018170805572380376,0.6,0.03301890873943024,0.0006541490006056935
144,DUHUD,D,10,21,0.0020189783969311527,0.47619047619047616,0.031006745786246737,0.00045781823059663323
145,DUHUD,U,6,21,0.0012113870381586917,0.2857142857142857,0.018604047471748042,9.888873780887279e-05
146,DUHUD,H,5,21,0.0010094891984655764,0.23809523809523808,0.015503372893123368,5.7227278824579154e-05
147,DUHUU,D,9,27,0.0018170805572380376,0.3333333333333333,0.024610841494742634,0.0002018978396931153
148,DUHUU,U,10,27,0.0020189783969311527,0.37037037037037035,0.027345379438602924,0.00027695176912635836
149,DUHUU,H,8,27,0.0016151827175449223,0.2962962962962963,0.02187630355088234,0.0001417993057926955
150,DUHUH,D,4,12,0.0008075913587724611,0.3333333333333333,0.016407227663161755,8.973237319694012e-05
151,DUHUH,U,6,12,0.0012113870381586917,0.5,0.024610841494742634,0.0003028467595396729
152,DUHUH,H,2,12,0.0004037956793862306,0.16666666666666666,0.008203613831580877,1.1216546649617515e-05
153,DUHHD,D,6,20,0.0012113870381586917,0.3,0.019063475849057734,0.00010902483343428225
154,DUHHD,U,9,20,0.0018170805572380376,0.45,0.028595213773586602,0.0003679588128407026
155,DUHHD,H,5,20,0.0010094891984655764,0.25,0.01588622987421478,6.309307490409852e-05
156,DUHHU,D,3,13,0.0006056935190793458,0.23076923076923078,0.011822665836428306,3.225586787996517e-05
157,DUHHU,U,5,13,0.0010094891984655764,0.38461538461538464,0.019704443060713846,0.00014933272166650538
158,DUHHU,H,5,13,0.0010094891984655764,0.38461538461538464,0.019704443060713846,0.00014933272166650538
159,DUHHH,D,3,18,0.0006056935190793458,0.16666666666666666,0.010047333967105783,1.6824819974426273e-05
160,DUHHH,U,7,18,0.001413284877851807,0.3888888888888889,0.02344377925658016,0.0002137375278232671
161,DUHHH,H,8,18,0.0016151827175449223,0.4444444444444444,0.026792890578948757,0.0003190484380335649
162,DHDDD,D,2,17,0.0004037956793862306,0.11764705882352941,0.006892414239251649,5.588867534757517e-06
