date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,target_sigma,p_target
2020-01-28,1691.2449729444502,267.7522396488454,142127.76842220288,0.9112659871084546,1,0.21628740204092678,0.009984728952659018,0.024447715155170486,0.9112659871084546
2020-01-29,1723.931117227201,213.49692663928184,144838.84164928712,0.9305707407017357,1,0.21653077374260946,0.009984109409924367,0.024904046807639857,0.9305707407017356
2020-01-30,1723.78951674347,213.72425002870546,144969.83982972507,0.9283062257764436,0,0.22424853388840277,0.010066401817887509,0.02485337015590898,0.9283062257764436
2020-01-31,1751.6327977779,170.67045386750664,138921.7243190952,0.9407230279834858,1,0.2201958339195953,0.010111148729247052,0.02514678433560052,0.9407230279834858
2020-02-03,1751.5946802998994,170.72905205789473,138588.15079872834,0.9403767496054687,0,0.22783256807704094,0.009966865828558142,0.02513856978265008,0.9403767496054687
2020-02-04,1508.368194194953,555.2797352094185,142927.31972454698,0.8111338024800873,-1,0.22420532341656269,0.009960590775400175,0.02213214649571475,0.8111338024800874
2020-02-05,1579.8172743731693,441.41406879630364,143877.2898978482,0.8508286944405529,1,0.22483642776333043,0.009959901195552422,0.02304153914426455,0.8508286944405529
2020-02-06,1579.836581488263,441.38301376060537,145360.2398168417,0.8520096735204732,0,0.22452448420214516,0.009961809721127944,0.023066793138396414,0.8520096735204732
2020-02-07,1636.9017819010317,351.1485873186403,143749.71489780594,0.8805414610644625,1,0.22344182556729267,0.009955387586446193,0.023727286762036,0.8805414610644625
2020-02-10,1682.0805192085072,280.04308470532976,144513.37052073292,0.9043379455081445,1,0.2274400478113323,0.00993691369031354,0.024287354837468616,0.9043379455081445
2020-02-11,1682.039462786709,280.10748482906234,143687.87297990083,0.9040239515850969,0,0.22740053780015976,0.009929168132645307,0.02427898910897714,0.9040239515850969
2020-02-12,1681.9525251069026,280.24751459895793,146730.97468653118,0.906251476981625,0,0.22021819206513138,0.009862394599621275,0.02433195517607576,0.9062514769816251
2020-02-13,1717.4449893509116,223.6776246657179,145830.38816800353,0.9244597313505355,1,0.21816603938162926,0.009858929092333433,0.024761406988272512,0.9244597313505355
2020-02-14,1717.4509572747302,223.6681642707592,145926.41162426732,0.9240820671998773,0,0.22389826979997335,0.00983368493540988,0.024751470267875688,0.9240820671998773
2020-02-18,1717.3640811193368,223.80431308704513,143379.62231199522,0.9232281774037909,0,0.22311266971973887,0.009845283404604662,0.02473244928611351,0.9232281774037909
2020-02-19,1477.3154258683676,603.9148663556145,145341.1371212789,0.7948103871340685,-1,0.22702119463693138,0.009817676966063563,0.021762441913244727,0.7948103871340685
2020-02-20,1477.4162135196534,603.7567768256561,144131.09354666588,0.7933149693983454,0,0.22663288325024636,0.009819194173494571,0.021729080494270216,0.7933149693983454
2020-02-21,1559.1545688695603,479.3033610770811,141747.4544499736,0.8320146687061822,1,0.22602887452737788,0.009818419952901194,0.022609527970288663,0.8320146687061822
2020-02-24,1625.107409426815,381.24092685166477,135559.43559608934,0.8637229452800537,1,0.21785419455222493,0.00997790430207512,0.023338667032593293,0.8637229452800537
2020-02-25,1678.4887924974275,303.4581679366241,131331.9885751694,0.8896197710584415,1,0.21397326997314722,0.010036791797237647,0.023939440398015516,0.8896197710584415
2020-02-26,1448.114334967303,645.7677192076043,133130.31197732073,0.7691622843468949,-1,0.2171250064112127,0.010020268849614124,0.021192279263640746,0.7691622843468949
2020-02-27,1540.1052763801424,511.8052944598759,125012.13364363638,0.8141993669314628,1,0.20409823075439806,0.010412313513519861,0.022202560617591276,0.8141993669314628
2020-02-28,1339.3581647088608,811.8391498598996,124343.69490192563,0.7114615293303062,-1,0.20964174527243856,0.010488820485325097,0.019930116894784078,0.7114615293303062
2020-03-02,1448.4562891821304,641.3472158024114,134209.8250708389,0.7792193546965485,1,0.19084864672144117,0.010889506380409126,0.02141477850564637,0.7792193546965485
2020-03-03,1267.875259387507,913.9034452698602,130962.66685984647,0.6767854951573657,-1,0.19131666180764317,0.010871664596659544,0.019198449029458164,0.6767854951573657
2020-03-04,1120.032025695018,1136.0641194233071,137233.38103975297,0.5970133197493261,-1,0.19739824120592875,0.011208527017372296,0.01758321199681342,0.5970133197493261
2020-03-05,992.9103342954496,1327.991988222099,132529.65446974584,0.5302609349143071,-1,0.19636359125141037,0.011250851114602885,0.016335570195874442,0.5302609349143071
2020-03-06,880.3962421303545,1500.0985742875084,129972.53461168407,0.4730564936362814,-1,0.21249907673774895,0.011211372828340614,0.015357994830051824,0.4730564936362813
2020-03-09,1117.748428329861,1143.8291286225815,120895.70884470941,0.5946150398846191,1,0.19710007305198535,0.01187613262915003,0.017539112659706153,0.5946150398846191
2020-03-10,1007.8577137302077,1314.7250029076613,127774.1379717046,0.5438291098029279,-1,0.1832384383613311,0.012095079879936752,0.016582128395228546,0.5438291098029279
2020-03-11,1200.6010404409465,1017.3560178808674,123785.79665696147,0.6454800143783683,1,0.18065399532014043,0.012213821366934245,0.018550002867587654,0.6454800143783683
2020-03-12,1342.7950825536234,798.468747931406,111650.42146895843,0.7213518214698863,1,0.17624941190299348,0.013573263219224285,0.020145642339541085,0.7213518214698863
2020-03-13,1228.7584206006688,988.0676321789341,122444.33910118036,0.674014580300383,-1,0.16301945912769109,0.013796153388170125,0.019138534591907258,0.674014580300383
2020-03-16,1148.4079216833231,1112.7291752455774,109183.7501165887,0.6155647964683109,-1,0.11151568078829674,0.01446366839223226,0.017948894167499358,0.6155647964683109
2020-03-17,1084.9014624381591,1211.4040477986737,113919.57651362284,0.5818561686239457,-1,0.11051020721323611,0.014644216739936744,0.017293600000838558,0.5818561686239457
2020-03-18,1035.8336778117582,1289.6418743023514,109944.4482135518,0.5615346195230678,-1,0.12254265932578709,0.014887884419486968,0.016907788690235317,0.5615346195230678
2020-03-19,999.1176949443512,1351.930630238149,106225.37109960808,0.5562983575114602,-1,0.15341049206098828,0.015280657632686557,0.016811899977101828,0.5562983575114602
2020-03-20,1173.2910697989628,1049.6990744427037,98496.36120826626,0.6598108478916087,1,0.16922053180759764,0.016032420378637415,0.01884505547113741,0.6598108478916087
2020-03-23,1303.1540982740885,824.7981379360417,96468.32882329452,0.7323510838534238,1,0.1679247936463095,0.016071170092441273,0.02038189918585883,0.7323510838534238
2020-03-24,1235.136224924068,948.2018961293263,104855.4133844922,0.7026732209875372,-1,0.14480059362295636,0.01639786684957481,0.01974266830262048,0.7026732209875372
2020-03-25,1185.504428693449,1033.1034198035516,106156.53734692204,0.6625014247495465,-1,0.1705234131381432,0.016583294886344267,0.018900526321901732,0.6625014247495465
2020-03-26,1151.9393435537913,1089.885088547074,112165.03391405512,0.6413208880145489,-1,0.17561522721137002,0.01693785395296211,0.018466396336894286,0.6413208880145489
2020-03-27,1292.127925310848,854.6890379585154,107842.43162327781,0.7172251649441539,1,0.17237037444720443,0.017061620151000146,0.020055323257737363,0.7172251649441539
2020-03-30,1292.151570301958,854.6502220785712,111609.77936849523,0.7128056919757675,0,0.18147984845317075,0.017255838120853958,0.01996007649506266,0.7128056919757675
2020-03-31,1292.2966977831354,854.4084355682231,110913.20094800906,0.7158990576836824,0,0.1837812582532923,0.01727518304297201,0.020025069370754645,0.7158990576836824
2020-04-01,1400.7239261855514,674.6160853180327,105218.48431816165,0.7749235119286643,1,0.17991445782171486,0.017508957458633848,0.0213185108241579,0.7749235119286643
2020-04-02,1400.6696684366673,674.7037472838066,107607.98258742166,0.7703297941881009,0,0.18917983131801977,0.017631281473833502,0.02121749681458932,0.7703297941881009
2020-04-03,1400.684863676166,674.6794835470974,106349.20385721512,0.7682541982314383,0,0.1887274068340051,0.0176337610762842,0.021170584958212304,0.7682541982314381
2020-04-06,1400.6603346517163,674.7194769689261,115073.74705532713,0.7719332891556931,0,0.17741306817410554,0.018043224669908528,0.02125275653182731,0.7719332891556931
2020-04-07,1400.5206948662392,674.9452902574279,113954.91744162288,0.7704068796426601,0,0.17665996508870693,0.018045510137461383,0.021220251764014715,0.7704068796426601
2020-04-08,1400.3850427901723,675.1641063275553,116938.81116332811,0.7698890620173783,0,0.1876238849045719,0.018077280217117915,0.02120870427226012,0.7698890620173783
2020-04-09,1350.2352999884517,754.6806755242714,118252.49356986948,0.7393689932375056,-1,0.19125114661346412,0.018114022251396536,0.020534162478506455,0.7393689932375056
2020-04-13,1350.3502858338156,754.4865778249391,118666.56374727024,0.7513143369217291,0,0.2076611665211752,0.018195412120485477,0.020795366761088598,0.7513143369217291
2020-04-14,1309.423519224723,824.1083063445334,124420.57058369304,0.7299428652191196,-1,0.20727209819752174,0.018343777417662396,0.020331555005452615,0.7299428652191196
2020-04-15,1408.918249916381,651.7850848531044,122691.89669774481,0.7892033060928729,1,0.2112479993699639,0.018394341332408245,0.02163899749350143,0.7892033060928729
2020-04-16,1408.9909670756192,651.6567646951282,123184.17925801552,0.7923356622630846,0,0.21235658243790562,0.01839901322751206,0.021707379494703187,0.7923356622630846
2020-04-17,1487.9423267497475,516.9709847370226,122381.25857480205,0.8307954464828763,1,0.21680225645175785,0.018412951000585574,0.022579350339607344,0.8307954464828763
2020-04-20,1549.1829237006232,411.3031599825644,119611.62497875263,0.8666482132592681,1,0.2194079837038429,0.018495630816384622,0.023406670862700818,0.8666482132592681
2020-04-21,1598.074598259218,327.47871794993273,116013.20183834227,0.8932378323096613,1,0.21744270339588925,0.018559865741712096,0.024024382586365887,0.8932378323096613
2020-04-22,1635.9524840606982,261.1055573721042,119079.9361790369,0.9165203227803392,1,0.21557348417089436,0.018570402882744877,0.0245725471254841,0.9165203227803392
2020-04-23,1635.9107269600518,261.17943098585016,118524.23440133646,0.9172255144613538,0,0.21630747498543104,0.01858243581854782,0.024590038254490888,0.9172255144613538
2020-04-24,1665.2160586266864,208.26053408525684,121741.09731725669,0.9352276597686,1,0.15457720935569544,0.018130830375979862,0.0250143435400434,0.9352276597686
2020-04-27,1689.0193568628767,166.48801839661783,122055.90657008279,0.9468183820741005,1,0.16134098419062656,0.01818053747670755,0.0252928925423947,0.9468183820741005
2020-04-28,1708.2643879863754,133.23384107563535,120177.10313163535,0.9568124384836061,1,0.15994311276088322,0.01817650299651426,0.025531761624402582,0.9568124384836061
2020-04-29,1723.4017356549907,106.43621656906922,123996.09840861638,0.9662896157204791,1,0.15740894493337365,0.018185682959738436,0.025756426370582525,0.9662896157204791
2020-04-30,1734.8233699149553,85.2365874477838,126414.56518393564,0.9742116188277423,1,0.1628823540252197,0.018205289013281185,0.025947822899079792,0.9742116188277423
2020-05-01,1744.0909917037002,68.20430131822168,124411.28905421183,0.9791649831072213,1,0.16004637542741504,0.018203759926563243,0.026066124568328478,0.9791649831072213
2020-05-04,1744.1511332311034,68.091065468503,126108.72698226,0.9796865508276005,0,0.16076915361301228,0.018204991518213382,0.026077400486446967,0.9796865508276005
2020-05-05,1751.2753042076235,54.55416123959568,127977.80069094624,0.9838703000829594,1,0.16007948036160285,0.018206902211783917,0.026179653280936983,0.9838703000829594
2020-05-06,1751.2563211493032,54.59113314508846,129247.32614774311,0.9842467298239321,0,0.16222768499826548,0.018215669586302122,0.02618819100201897,0.9842467298239321
2020-05-07,1756.8218257127744,43.60264048985447,130556.4816340473,0.9875855856830514,1,0.1613559841834367,0.018213168475881388,0.026267990638273817,0.9875855856830514
2020-05-08,1761.2899139277656,34.86667620320618,133680.2450039574,0.9899765895601537,1,0.1648828535201389,0.018302383120861965,0.026325955321091738,0.9899765895601537
2020-05-11,1764.6956643898363,28.018348946739465,135746.10248738312,0.992165967553459,1,0.16675897446258023,0.01830600526991303,0.02637967781884568,0.992165967553459
2020-05-12,1767.6043297827434,22.143525023279736,134190.09455535133,0.9938358208018019,1,0.16716941049210524,0.018328005549113284,0.02641728916355312,0.9938358208018019
2020-05-13,1769.9034643698233,17.464001222258908,132563.6282350674,0.9951754527609907,1,0.16834787421350822,0.01835908199564906,0.026449763951777384,0.9951754527609906
2020-05-14,1769.8136547131733,17.648927507099064,133370.57565636642,0.9951803338753026,0,0.16918927733234654,0.018357760681639617,0.026452755648259507,0.9951803338753026
2020-05-15,1771.5467274689088,14.06538709620228,132579.4399286658,0.9961749318739685,1,0.16862975817254372,0.0183605161284281,0.02647521038125159,0.9961749318739685
2020-05-18,1772.8795148312474,11.351862413787781,135711.24858409894,0.9968649007687242,1,0.17513889172907443,0.0183955537414238,0.026492887297830385,0.9968649007687242
