date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2025-02-28,23311.521913459506,1442.6436960664405,240.79052734375,370686.4582584343,1,1,0,1,0.2,-5827.8804783648775,24.20311356370368
2025-03-03,18649.404022942916,1462.3163063632178,236.9970703125,365214.0845012218,0,1,0,1,0.2,-4662.351005735729,19.672610296777247
2025-03-04,14919.672413586517,1478.1946378883142,234.9061737060547,362156.71879273746,0,1,1,1,0.2,-3729.9181033966292,15.878331525096442
2025-03-05,84311.30687818826,1182.5557103106514,234.71701049804688,361877.2479496987,0,0,-1,-1,0.2,69391.48526787761,-295.63892757766286
2025-03-06,67449.71999300564,1254.52240795821,234.3087921142578,361395.35008196393,0,0,1,1,0.2,-16862.42999825141,71.9666976475584
2025-03-07,53960.31559216445,1311.1956579127298,238.03256225585938,366067.5776638888,0,0,1,1,0.2,-13490.078898041114,56.673249954519804
2025-03-10,43168.684156256306,1358.8447176631246,226.4928436279297,350937.28830856865,-1,1,1,1,0.2,-10792.171039064076,47.649059750394926
2025-03-11,34535.292674478296,1398.1104911254288,219.88165283203125,341954.13830494054,-1,1,1,1,0.2,-8633.823168619574,39.265773462304274
2025-03-12,27628.51042192404,1430.082246674,216.03842163085938,336581.2217956883,-1,1,1,1,0.2,-6907.12760548101,31.971755548571277
2025-03-13,22103.029365622606,1456.5503944393022,208.77008056640625,326187.17256174656,-1,1,1,1,0.2,-5525.757341405652,26.46814776530204
2025-03-14,84025.15574721125,1165.2403155514417,212.5635528564453,331712.77715239115,-1,1,-1,-1,0.2,61921.90535129498,-291.31007888786047
2025-03-17,133681.86144332166,932.1922524411533,213.07135009765625,332305.3232215334,-1,0,-1,-1,0.2,49655.86544455294,-233.04806311028835
2025-03-18,173164.71782233182,745.7538019529227,211.7670440673828,331090.79606391466,-1,0,-1,-1,0.2,39481.51956039571,-186.43845048823067
2025-03-19,205130.34546178093,596.6030415623381,214.3059539794922,332985.9294308644,-1,0,0,-1,0.2,31963.895992270875,-149.15076039058454
2025-03-20,230568.0816826893,477.2824332498705,213.17092895507812,332310.8213525043,-1,0,0,-1,0.2,25435.684917453746,-119.32060831246764
2025-03-21,184456.30989080493,689.4740408596575,217.32281494140625,334294.74927945185,-1,1,1,1,0.2,-46114.07747270123,212.191607609787
2025-03-24,214763.58950598232,551.5792326877261,219.77212524414062,335985.32971429627,-1,0,0,-1,0.2,30305.43505207848,-137.89480817193152
2025-03-25,239341.79525181616,441.26338615018085,222.77903747558594,337646.0276915713,0,0,-1,-1,0.2,24576.05810993877,-110.31584653754521
2025-03-26,191475.35093581496,658.288038457186,220.56866455078125,336673.0644680698,0,1,1,1,0.2,-47868.83773395374,217.02465230700508
2025-03-27,220820.93313024146,526.6304307657488,222.87863159179688,338195.6028939101,0,0,-1,-1,0.2,29343.667440917154,-131.6576076914372
2025-03-28,220823.1413395728,526.6304307657488,216.9544219970703,335077.94205242395,0,1,-1,0,0.2,0.0,0.0
2025-03-31,220825.3495709862,526.6304307657488,221.16607666015625,337298.1357932949,0,1,-1,0,0.2,0.0,0.0
2025-04-01,176662.04625958554,725.3759090810013,222.22146606445312,337856.1442234011,0,0,1,1,0.2,-44165.511564896384,198.74547831525248
2025-04-02,176663.81288004815,725.3759090810013,222.91842651367188,338363.46916330926,0,0,0,0,0.2,0.0,0.0
2025-04-03,141332.46361454157,900.0258166428034,202.30824279785156,323415.10505224846,-1,1,1,1,0.2,-35333.11590363539,174.6499075618021
2025-04-04,113067.10155134217,1050.7316922237815,187.56253051757812,310144.9966398517,-1,1,1,1,0.2,-28266.775387835543,150.70587558097813
2025-04-07,90454.58577788615,1175.8953930011087,180.6725616455078,302906.61865854764,-1,1,1,1,0.2,-22613.64644447154,125.16370077732718
2025-04-08,90455.49032374394,1175.8953930011087,171.67176818847656,292323.5316449278,-1,1,0,0,0.2,0.0,0.0
2025-04-09,137018.82011847143,940.716314400887,197.9871063232422,323268.52107776835,-1,-1,-1,-1,0.2,46562.42523982423,-235.17907860022174
2025-04-10,109616.1522453381,1085.2572145858835,189.59365844726562,315374.03791496495,-1,1,1,1,0.2,-27404.038061334526,144.54090018499642
2025-04-11,152439.35593021545,868.2057716687068,197.29013061523438,323727.78602363495,-1,-1,-1,-1,0.2,42822.107523354876,-217.0514429171767
2025-04-14,187454.08659328672,694.5646173349654,201.64117431640625,327506.91167133447,-1,1,-1,-1,0.2,35013.206269511946,-173.64115433374138
2025-04-15,215413.9653623597,555.6516938679723,201.26280212402344,327245.98227518785,0,0,-1,-1,0.2,27958.00422820704,-138.91292346699308
2025-04-16,172332.89560161068,778.3880763933986,193.42697143554688,322894.1438199269,0,1,1,1,0.2,-43083.22390040267,222.73638252542628
2025-04-17,172334.6189305667,778.3880763933986,196.1251983642578,324996.13481759507,0,0,0,0,0.2,0.0,0.0
2025-04-21,172336.342276756,778.3880763933986,192.32179260253906,322037.33246917656,0,1,-1,0,0.2,0.0,0.0
2025-04-22,203298.1782017585,622.7104611147189,198.8732452392578,327138.6284480773,0,-1,-1,-1,0.2,30960.112561579703,-155.67761527867972
2025-04-23,203300.21118354052,622.7104611147189,203.71214294433594,330153.8936510755,0,1,-1,0,0.2,0.0,0.0
2025-04-24,203302.24418565238,622.7104611147189,207.4657745361328,332493.35231257,0,1,-1,0,0.2,0.0,0.0
2025-04-25,203304.27720809425,622.7104611147189,208.37181091308594,333059.583665091,0,0,0,0,0.2,0.0,0.0
2025-04-28,229364.01602974383,498.1683688917751,209.2281036376953,333594.83914525376,0,0,-1,-1,0.2,26057.705778877487,-124.54209222294378
2025-04-29,183493.04773592332,716.3076423698081,210.29345703125,334127.8581477746,0,0,1,1,0.2,-45873.26193398083,218.13927347803303
2025-04-30,183494.8826664007,716.3076423698081,211.57785034179688,335049.7138224053,0,0,0,0,0.2,0.0,0.0
2025-05-01,183496.71761522736,716.3076423698081,212.39430236816406,335636.3795973471,0,0,0,0,0.2,0.0,0.0
2025-05-02,183498.55258240353,716.3076423698081,204.45889282226562,329954.0200614619,0,1,-1,0,0.2,0.0,0.0
2025-05-05,146800.31005434348,901.6363895391567,198.0269012451172,325348.5703246181,0,1,1,1,0.2,-36700.07751358588,185.32874716934856
2025-05-06,182443.2047871623,721.3091116313253,197.6485595703125,325008.9117060355,0,0,-1,-1,0.2,35641.426729718296,-180.32727790783133
2025-05-07,145956.02337536815,908.0507281864562,195.3983612060547,323387.6475549663,0,1,0,1,0.2,-36489.00584384204,186.74161655513095
2025-05-08,181668.02990460792,726.440582549165,196.63299560546875,324510.217780632,-1,0,-1,-1,0.2,35710.54696900603,-181.61014563729125
2025-05-09,210388.72661730286,581.152466039332,197.66847229003906,325264.2467468864,-1,0,-1,-1,0.2,28718.880032395893,-145.288116509833
2025-05-12,168312.66440365525,781.3811907589755,210.15049743652344,332520.310329197,0,1,0,1,0.2,-42078.16610091381,200.22872471964357
2025-05-13,201489.2919359677,625.1049526071804,212.28399658203125,334189.0695586412,0,0,-1,-1,0.2,33174.94440566838,-156.27623815179513
2025-05-14,201491.30682888706,625.1049526071804,211.68582153320312,333817.16226601205,0,0,0,0,0.2,0.0,0.0
2025-05-15,201493.32174195535,625.1049526071804,210.80850219726562,333270.76051716774,1,0,-1,0,0.2,0.0,0.0
2025-05-16,161196.26934013824,816.441228186165,210.6190643310547,333154.3569020054,1,0,1,1,0.2,-40299.06733503456,191.33627557898458
2025-05-19,128958.30504226533,971.3300307208937,208.14659118652344,331137.33985392045,1,1,1,1,0.2,-32239.576260566333,154.8888025347287
