Date,price,macd,signal,cross_signal
2003-09-23,2.5220000743865967,0.07321961896933171,0.06959153769665138,1.0
2003-09-30,2.4214999675750732,0.07416412056432753,0.07508367774214518,-1.0
2003-10-03,2.6445000171661377,0.0842929311795988,0.07617495163863289,1.0
2003-10-22,2.7014999389648438,0.1428867148290891,0.15541229640581916,-1.0
2003-11-28,2.698499917984009,-0.03299673660294422,-0.03895441037060976,1.0
2003-12-09,2.4670000076293945,-0.03292111087418892,-0.026341205866800232,-1.0
2003-12-23,2.624000072479248,-0.03538218525487302,-0.0427944693069101,1.0
2004-01-28,2.5980000495910645,0.04648622684327863,0.05265317972739319,-1.0
2004-03-03,2.1584999561309814,-0.10348821284077836,-0.10448579404384445,1.0
2004-03-24,1.9815000295639038,-0.07160159813992628,-0.07152823406256834,-1.0
2004-03-25,2.0994999408721924,-0.06514402313488299,-0.07025139187703126,1.0
2004-04-21,2.2860000133514404,0.03407073920904535,0.03426175808923458,-1.0
2004-04-22,2.443000078201294,0.04323357268951078,0.03605612100928982,1.0
2004-04-29,2.309499979019165,0.035638292949917716,0.03840705571427285,-1.0
2004-05-26,2.234499931335449,-0.02968767201180711,-0.03885300804213931,1.0
2004-06-18,2.4800000190734863,0.07498787647280913,0.0764534628930759,-1.0
2004-06-28,2.6695001125335693,0.07555597431999628,0.07064328185171259,1.0
2004-07-06,2.562000036239624,0.07429451398716491,0.07818701655520216,-1.0
2004-08-13,1.80649995803833,-0.1489640613355243,-0.15216795133548297,1.0
2004-09-28,1.971500039100647,0.01583827183203379,0.021965965213430708,-1.0
2004-11-04,1.8454999923706055,-0.06076568466506416,-0.06460408192494904,1.0
2004-12-07,1.909999966621399,0.016765341614491502,0.018159547500688128,-1.0
2004-12-14,2.0220000743865967,0.018317230340949564,0.01639386619577752,1.0
2004-12-20,1.9474999904632568,0.016925315826336496,0.01887052327899625,-1.0
2004-12-27,2.112499952316284,0.019599421335834144,0.016303733853777376,1.0
2005-01-06,2.052500009536743,0.04668522153376209,0.050254085209347675,-1.0
2005-01-18,2.2290000915527344,0.044242887371602535,0.04068579564728792,1.0
