Date,S_J_exact,S_J_normalized,S_J_return,rolling_sharpe_60d,portfolio_return_aux,portfolio_wealth_aux,weight_risky_t,weight_risky_prevday
2000-04-28,9.50250864223241,0.805499530551673,-0.01928174883645219,,-0.007237735064195783,0.7924160308652329,0.21740771862651356,0.21498605524998068
2000-05-01,9.382223194438694,0.7953032891823756,-0.012739082083036785,,0.001209694339651561,0.7933751920814002,0.2153805951196619,0.21740771862651356
2000-05-02,9.38467395276424,0.7955110327114843,0.00026117885340922034,,-0.014155025616801363,0.7822240544239728,0.21015681499400293,0.2153805951196619
2000-05-03,9.362996232100947,0.7936734764960541,-0.0023125785882307575,,0.02989319208265748,0.805960235917093,0.2579264391171654,0.21015681499400293
2000-05-04,9.471478675102814,0.8028692120855746,0.01151968857086531,,0.004429297919552628,0.8095379915368093,0.24712449492642855,0.2579264391171654
2000-05-05,9.19929608448591,0.7797970995287006,-0.02915806953132051,,-0.007686160233504409,0.8033396042329292,0.25356081582554124,0.24712449492642855
2000-05-08,9.288823082787077,0.7873860381783105,0.009684889768510677,,0.011454277435111099,0.8125941799900547,0.26903008059400885,0.25356081582554124
2000-05-09,9.682125473550274,0.8207251176837599,0.0414695925591859,,0.030661989323363358,0.837895851587847,0.2649457463415321,0.26903008059400885
2000-05-10,9.933051128204804,0.8419953426987946,0.025586243627834605,,0.018701390654262236,0.8537131106120429,0.27682744464238446,0.2649457463415321
2000-05-11,10.201307945964219,0.8647346791106719,0.02664824753854239,-0.9508025585938245,0.018194436743653723,0.8693881062432711,0.26539624694639063,0.27682744464238446
2000-05-12,9.968391984764985,0.8449910825018612,-0.023096656479733198,-0.8213286133901382,-0.023722901747243674,0.8490064099597687,0.26396600094162453,0.26539624694639063
2000-05-15,10.000705033676981,0.8477301640127822,0.003236308290277268,-0.5340637908507713,0.004041742259881929,0.8524448189465401,0.25460440525807065,0.26396600094162453
2000-05-16,9.478090823029724,0.803429704293642,-0.05367268786701951,-0.7676486095261416,-0.02838059700758296,0.8285920056256809,0.260955969689863,0.25460440525807065
2000-05-17,9.522548939249711,0.8071982872113417,0.0046796526758142885,-0.78767590205282,-0.0020328254107786006,0.8269093336101458,0.24443794255309456,0.260955969689863
2000-05-18,9.995879193249948,0.8473210918040797,0.04851036870517373,-0.5205545444837335,-0.005277888799647128,0.8225564951031868,0.20873905668344442,0.24443794255309456
2000-05-19,10.210748650440586,0.865534939685021,0.02126802731249822,-0.2782115750376644,-0.0006919163485328162,0.821987551669963,0.1955240595718355,0.20873905668344442
2000-05-22,10.26657236801832,0.8702669509880857,0.00545226163299182,-0.11636936526967215,0.007174130252128038,0.8279058011943253,0.20154826892765634,0.1955240595718355
2000-05-23,10.184604839112497,0.8633188061833882,-0.008015965729695308,-0.2085692067707572,-0.032138659676409664,0.8017210437102607,0.1909888447162779,0.20154826892765634
2000-05-24,10.807311119721886,0.9161037744046434,0.05934561002267877,0.22581879595065188,0.049875726673108085,0.8427214263060204,0.18305766712347785,0.1909888447162779
2000-05-25,10.827380905162215,0.9178050307106477,0.0018553341248741591,-0.04752905579155807,-0.011924233829933191,0.8327322937021289,0.1784370176457368,0.18305766712347785
2000-05-26,10.646439285245492,0.9024671451703574,-0.016852697915831813,0.016946685260941837,0.03260843274086765,0.8603339666223087,0.2303027885016679,0.1784370176457368
2000-05-30,10.661607974487879,0.9037529500587134,0.0014237524086392276,-0.04456189825999115,0.01487582621715971,0.8732278107179466,0.2223941986987389,0.2303027885016679
