date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g,trade_cash,trade_shares
2022-11-18,2022-11-17,28614.830495773647,961.0180742811478,94.13999938964844,119085.07142204203,0,1,-1,0,0.5,0.0,0.0
2022-11-21,2022-11-18,14307.558322039304,1115.761297985571,92.45999908447266,117470.84691227521,0,0,1,1,0.5,-14307.558322039304,154.74322370442306
2022-11-22,2022-11-21,7153.850698811262,1192.5193552072262,93.19999694824219,118296.65096484449,0,1,1,1,0.5,-7153.850698811262,76.75805722165518
2022-11-23,2022-11-22,7153.922237318251,1192.5193552072262,94.12999725341797,119405.76586762223,0,0,0,0,0.5,0.0,0.0
2022-11-25,2022-11-23,3576.9968882703124,1230.8128649817181,93.41000366210938,118547.23111358393,0,0,1,1,0.5,-3576.9968882703124,38.29350977449193
2022-11-28,2022-11-25,3577.0326582391954,1230.8128649817181,93.94999694824219,119211.89756712884,0,0,0,0,0.5,0.0,0.0
2022-11-29,2022-11-28,3577.068428565778,1230.8128649817181,92.41999816894531,117328.7911564905,0,0,0,0,0.5,0.0,0.0
2022-11-30,2022-11-29,1788.552099625032,1249.339404060478,96.54000091552734,122399.77931142796,0,1,0,1,0.5,-1788.552099625032,18.526539078759882
2022-12-01,2022-11-30,61444.52652903386,624.669702030239,95.5,121100.48307292169,0,-1,-1,-1,0.5,59655.95654388783,-624.669702030239
2022-12-02,2022-12-01,90845.21964249905,312.3348510151195,94.12999725341797,120245.29831069897,0,0,-1,-1,0.5,29400.07866819991,-312.3348510151195
2022-12-05,2022-12-02,90846.12809469548,312.3348510151195,91.01000213623047,119271.72355280073,0,1,-1,0,0.5,0.0,0.0
2022-12-06,2022-12-05,45423.518277988216,827.0489391509633,88.25,118410.58715806072,0,1,1,1,0.5,-45423.518277988216,514.7140881358438
2022-12-07,2022-12-06,22711.9862565855,1083.7975994680096,88.45999908447266,118584.72091327929,0,1,1,1,0.5,-22711.9862565855,256.74866031704636
2022-12-08,2022-12-07,71672.76910554346,541.8987997340048,90.3499984741211,120633.32483463884,0,0,-1,-1,0.5,48960.55572909539,-541.8987997340048
2022-12-09,2022-12-08,95812.36687513943,270.9493998670024,89.08999633789062,119951.24791704434,0,0,-1,-1,0.5,24138.881041904908,-270.9493998670024
2022-12-12,2022-12-09,95813.32499880818,270.9493998670024,90.55000305175781,120347.7939836372,0,1,-1,0,0.5,0.0,0.0
2022-12-13,2022-12-12,47907.14156602909,788.9204526568676,92.48999786376953,120874.39254694685,0,0,1,1,0.5,-47907.14156602909,517.9710527898652
2022-12-14,2022-12-13,47907.62063744475,788.9204526568676,91.58000183105469,120156.95713631719,0,0,0,0,0.5,0.0,0.0
2022-12-15,2022-12-14,82798.10552860402,394.4602263284338,88.44999694824219,117688.11134355691,0,0,-1,-1,0.5,34890.00581495289,-394.4602263284338
2022-12-16,2022-12-15,82798.93350965931,394.4602263284338,87.86000061035156,117456.20923563492,0,1,-1,0,0.5,0.0,0.0
2022-12-19,2022-12-16,41399.880749497206,881.9764962550254,84.91999816894531,116297.32319652676,0,0,1,1,0.5,-41399.880749497206,487.5162699265916
2022-12-20,2022-12-19,41400.2947483047,881.9764962550254,85.19000244140625,116535.87461753325,0,1,-1,0,0.5,0.0,0.0
2022-12-21,2022-12-20,79665.25756090821,440.9882481275127,86.7699966430664,117929.80637056423,-1,0,0,-1,0.5,38264.548809656015,-440.9882481275127
2022-12-22,2022-12-21,79666.05421348383,440.9882481275127,83.79000091552734,116616.45992782492,-1,0,1,0,0.5,0.0,0.0
2022-12-23,2022-12-22,39833.425437012986,908.2425054531782,85.25,117261.09902689644,-1,1,1,1,0.5,-39833.425437012986,467.25425732566555
2022-12-27,2022-12-23,39833.82377126736,908.2425054531782,83.04000091552734,115254.28225562013,-1,0,1,0,0.5,0.0,0.0
2022-12-28,2022-12-27,76990.42286900777,454.1212527265891,81.81999969482422,114146.62362851048,-1,1,-1,-1,0.5,37156.20075950271,-454.1212527265891
2022-12-29,2022-12-28,38495.596386618236,911.4222297646154,84.18000030517578,115219.11996634756,-1,1,1,1,0.5,-38495.596386618236,457.3009770380263
2022-12-30,2022-12-29,76775.71499269595,455.7111148823077,84.0,115055.4486428098,-1,1,-1,-1,0.5,38279.73365011385,-455.7111148823077
2023-01-03,2022-12-30,76776.48274984589,455.7111148823077,85.81999969482422,115885.61048997354,-1,0,1,0,0.5,0.0,0.0
2023-01-04,2023-01-03,96176.87253614124,227.85555744115385,85.13999938964844,115576.49455760908,0,0,-1,-1,0.5,19399.622021467843,-227.85555744115385
2023-01-05,2023-01-04,48088.9171524333,806.4036272607348,83.12000274658203,115117.18886519928,0,0,1,1,0.5,-48088.9171524333,578.548069819581
2023-01-06,2023-01-05,24044.699020802414,1085.7333032520742,86.08000183105469,117504.62375277802,0,1,0,1,0.5,-24044.699020802414,279.32967599133946
2023-01-09,2023-01-06,71469.77048518273,542.8666516260371,87.36000061035156,118894.60150257284,0,-1,-1,-1,0.5,47424.83101739011,-542.8666516260371
2023-01-10,2023-01-09,71470.48518288758,542.8666516260371,89.87000274658203,120257.91265554732,0,0,0,0,0.5,0.0,0.0
2023-01-11,2023-01-10,35735.59994386971,918.674847231468,95.08999633789062,123092.38780282222,0,1,1,1,0.5,-35735.59994386971,375.8081956054309
