,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
59,DDHDU,H,5,19,0.0010092854259184498,0.2631578947368421,0.016297282837125834,6.989511259823058e-05
60,DDHDH,D,6,12,0.0012111425111021397,0.5,0.02460835743301592,0.0003027856277755349
61,DDHDH,U,4,12,0.0008074283407347598,0.3333333333333333,0.01640557162201061,8.971426008163997e-05
62,DDHDH,H,2,12,0.0004037141703673799,0.16666666666666666,0.008202785811005305,1.1214282510204996e-05
63,DDHUD,D,10,25,0.0020185708518368995,0.4,0.02841528357653254,0.000322971336293904
64,DDHUD,U,10,25,0.0020185708518368995,0.4,0.02841528357653254,0.000322971336293904
65,DDHUD,H,5,25,0.0010092854259184498,0.2,0.01420764178826627,4.0371417036738e-05
66,DDHUU,D,5,14,0.0010092854259184498,0.35714285714285715,0.018985759944894504,0.00012873538595898596
67,DDHUU,U,5,14,0.0010092854259184498,0.35714285714285715,0.018985759944894504,0.00012873538595898596
68,DDHUU,H,4,14,0.0008074283407347598,0.2857142857142857,0.015188607955915603,6.591251761100079e-05
69,DDHUH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
70,DDHUH,U,5,16,0.0010092854259184498,0.3125,0.017759552235332838,9.85630298748486e-05
71,DDHUH,H,5,16,0.0010092854259184498,0.3125,0.017759552235332838,9.85630298748486e-05
72,DDHHD,D,2,15,0.0004037141703673799,0.13333333333333333,0.007336794671311443,7.1771408065311975e-06
73,DDHHD,U,8,15,0.0016148566814695195,0.5333333333333333,0.02934717868524577,0.00045933701161799664
74,DDHHD,H,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
75,DDHHU,D,5,19,0.0010092854259184498,0.2631578947368421,0.016297282837125834,6.989511259823058e-05
76,DDHHU,U,5,19,0.0010092854259184498,0.2631578947368421,0.016297282837125834,6.989511259823058e-05
77,DDHHU,H,9,19,0.0018167137666532096,0.47368421052631576,0.0293351091068265,0.00040762829667288075
78,DDHHH,D,2,15,0.0004037141703673799,0.13333333333333333,0.007336794671311443,7.1771408065311975e-06
79,DDHHH,U,7,15,0.0014129995962858296,0.4666666666666667,0.025678781349590053,0.00030771991208002514
80,DDHHH,H,6,15,0.0012111425111021397,0.4,0.02201038401393433,0.00019378280177634238
81,DUDDD,D,15,31,0.0030278562777553493,0.4838709677419355,0.03827651691704687,0.0007089153615972462
82,DUDDD,U,14,31,0.002825999192571659,0.45161290322580644,0.03572474912257708,0.0005763744451030647
83,DUDDD,H,2,31,0.0004037141703673799,0.06451612903225806,0.005103535588939583,1.6803919682305091e-06
84,DUDDU,D,9,26,0.0018167137666532096,0.34615384615384615,0.025077130172482844,0.00021768315843034017
85,DUDDU,U,14,26,0.002825999192571659,0.5384615384615384,0.039008869157195536,0.0008193725469586467
86,DUDDU,H,3,26,0.0006055712555510698,0.11538461538461539,0.008359043390827615,8.062339201123712e-06
87,DUDDH,D,4,17,0.0008074283407347598,0.23529411764705882,0.013783437125637931,4.470191505797978e-05
88,DUDDH,U,6,17,0.0012111425111021397,0.35294117647058826,0.0206751556884569,0.0001508689633206818
89,DUDDH,H,7,17,0.0014129995962858296,0.4117647058823529,0.02412101496986638,0.00023957432601386035
90,DUDUD,D,10,37,0.0020185708518368995,0.2702702702702703,0.023357219219882503,0.00014744856477990503
91,DUDUD,U,19,37,0.003835284618490109,0.5135135135135135,0.04437871651777675,0.0010113497058253683
92,DUDUD,H,8,37,0.0016148566814695195,0.21621621621621623,0.018685775375906002,7.549366516731137e-05
93,DUDUU,D,16,40,0.003229713362939039,0.4,0.03594280658456732,0.0005167541380702463
94,DUDUU,U,16,40,0.003229713362939039,0.4,0.03594280658456732,0.0005167541380702463
95,DUDUU,H,8,40,0.0016148566814695195,0.2,0.01797140329228366,6.459426725878079e-05
96,DUDUH,D,7,25,0.0014129995962858296,0.28,0.019890698503572776,0.00011077916834880906
97,DUDUH,U,8,25,0.0016148566814695195,0.32,0.02273222686122603,0.0001653613241824788
98,DUDUH,H,10,25,0.0020185708518368995,0.4,0.02841528357653254,0.000322971336293904
99,DUDHD,D,7,17,0.0014129995962858296,0.4117647058823529,0.02412101496986638,0.00023957432601386035
100,DUDHD,U,4,17,0.0008074283407347598,0.23529411764705882,0.013783437125637931,4.470191505797978e-05
101,DUDHD,H,6,17,0.0012111425111021397,0.35294117647058826,0.0206751556884569,0.0001508689633206818
102,DUDHU,D,8,21,0.0016148566814695195,0.38095238095238093,0.024802892930113497,0.00023435561817244723
103,DUDHU,U,7,21,0.0014129995962858296,0.3333333333333333,0.021702531313849308,0.00015699995514286994
104,DUDHU,H,6,21,0.0012111425111021397,0.2857142857142857,0.018602169697585123,9.886877641650119e-05
105,DUDHH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
106,DUDHH,U,3,16,0.0006055712555510698,0.1875,0.010655731341199702,2.12896144529673e-05
107,DUDHH,H,7,16,0.0014129995962858296,0.4375,0.02486337312946597,0.00027045695397658455
108,DUUDD,D,12,38,0.0024222850222042794,0.3157894736842105,0.02765740610171235,0.0002415575091394849
109,DUUDD,U,17,38,0.003431570448122729,0.4473684210526316,0.039181325310759164,0.0006867893763902139
110,DUUDD,H,9,38,0.0018167137666532096,0.23684210526315788,0.020743054576284264,0.00010190707416822019
111,DUUDU,D,18,41,0.0036334275333064193,0.43902439024390244,0.0399394955815075,0.0007003155983291374
112,DUUDU,U,15,41,0.0030278562777553493,0.36585365853658536,0.03328291298458958,0.00040527523051454704
113,DUUDU,H,8,41,0.0016148566814695195,0.1951219512195122,0.017750886925114444,6.148175348842906e-05
114,DUUDH,D,5,18,0.0010092854259184498,0.2777777777777778,0.016743866421920744,7.78769618764236e-05
115,DUUDH,U,9,18,0.0018167137666532096,0.5,0.030138959559457338,0.0004541784416633024
116,DUUDH,H,4,18,0.0008074283407347598,0.2222222222222222,0.013395093137536594,3.9873004480728874e-05
117,DUUUD,D,18,31,0.0036334275333064193,0.5806451612903226,0.04593182030045625,0.0012250057448400416
118,DUUUD,U,5,31,0.0010092854259184498,0.16129032258064516,0.012758838972348958,2.625612450360171e-05
119,DUUUD,H,8,31,0.0016148566814695195,0.25806451612903225,0.020414142355758332,0.00010754508596675258
120,DUUUU,D,15,30,0.0030278562777553493,0.5,0.038909229481932366,0.0007569640694388373
121,DUUUU,U,13,30,0.0026241421073879695,0.43333333333333335,0.03372133221767472,0.0004927555734984076
122,DUUUU,H,2,30,0.0004037141703673799,0.06666666666666667,0.005187897264257648,1.7942852016327994e-06
123,DUUUH,D,6,27,0.0012111425111021397,0.2222222222222222,0.016405571622010614,5.980950672109332e-05
124,DUUUH,U,11,27,0.0022204279370205892,0.4074074074074074,0.030076881307019455,0.00036854839558229257
125,DUUUH,H,10,27,0.0020185708518368995,0.37037037037037035,0.02734261937001769,0.00027689586444950605
126,DUUHD,D,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
127,DUUHD,U,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
128,DUUHD,H,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
129,DUUHU,D,6,23,0.0012111425111021397,0.2608695652173913,0.017774988615678906,8.242179659674296e-05
130,DUUHU,U,10,23,0.0020185708518368995,0.43478260869565216,0.02962498102613151,0.00038158239165158784
131,DUUHU,H,7,23,0.0014129995962858296,0.30434782608695654,0.020737486718292057,0.00013088276033649464
132,DUUHH,D,9,19,0.0018167137666532096,0.47368421052631576,0.0293351091068265,0.00040762829667288075
133,DUUHH,U,3,19,0.0006055712555510698,0.15789473684210525,0.0097783697022755,1.5097344321217806e-05
134,DUUHH,H,7,19,0.0014129995962858296,0.3684210526315789,0.022816195971976164,0.00019179218896954472
135,DUHDD,D,6,20,0.0012111425111021397,0.3,0.019061551703118032,0.00010900282599919257
136,DUHDD,U,4,20,0.0008074283407347598,0.2,0.01270770113541202,3.2297133629390396e-05
137,DUHDD,H,10,20,0.0020185708518368995,0.5,0.03176925283853005,0.0005046427129592249
138,DUHDU,D,8,23,0.0016148566814695195,0.34782608695652173,0.023699984820905205,0.00019537018452561294
139,DUHDU,U,7,23,0.0014129995962858296,0.30434782608695654,0.020737486718292057,0.00013088276033649464
140,DUHDU,H,8,23,0.0016148566814695195,0.34782608695652173,0.023699984820905205,0.00019537018452561294
141,DUHDH,D,3,15,0.0006055712555510698,0.2,0.011005192006967165,2.4222850222042797e-05
142,DUHDH,U,3,15,0.0006055712555510698,0.2,0.011005192006967165,2.4222850222042797e-05
143,DUHDH,H,9,15,0.0018167137666532096,0.6,0.033015576020901494,0.0006540169559951554
144,DUHUD,D,10,21,0.0020185708518368995,0.47619047619047616,0.031003616162641873,0.00045772581674306107
145,DUHUD,U,6,21,0.0012111425111021397,0.2857142857142857,0.018602169697585123,9.886877641650119e-05
146,DUHUD,H,5,21,0.0010092854259184498,0.23809523809523808,0.015501808081320937,5.7215727092882633e-05
147,DUHUU,D,9,27,0.0018167137666532096,0.3333333333333333,0.02460835743301592,0.00020185708518368994
148,DUHUU,U,10,27,0.0020185708518368995,0.37037037037037035,0.02734261937001769,0.00027689586444950605
149,DUHUU,H,8,27,0.0016148566814695195,0.2962962962962963,0.02187409549601415,0.0001417706825981471
150,DUHUH,D,4,12,0.0008074283407347598,0.3333333333333333,0.01640557162201061,8.971426008163997e-05
151,DUHUH,U,6,12,0.0012111425111021397,0.5,0.02460835743301592,0.0003027856277755349
152,DUHUH,H,2,12,0.0004037141703673799,0.16666666666666666,0.008202785811005305,1.1214282510204996e-05
153,DUHHD,D,6,20,0.0012111425111021397,0.3,0.019061551703118032,0.00010900282599919257
154,DUHHD,U,9,20,0.0018167137666532096,0.45,0.028592327554677048,0.00036788453774727495
155,DUHHD,H,5,20,0.0010092854259184498,0.25,0.015884626419265024,6.308033911990311e-05
156,DUHHU,D,3,13,0.0006055712555510698,0.23076923076923078,0.011821472531773597,3.224935680449485e-05
157,DUHHU,U,5,13,0.0010092854259184498,0.38461538461538464,0.01970245421962266,0.00014930257779858724
158,DUHHU,H,5,13,0.0010092854259184498,0.38461538461538464,0.01970245421962266,0.00014930257779858724
159,DUHHH,D,3,18,0.0006055712555510698,0.16666666666666666,0.010046319853152446,1.6821423765307496e-05
160,DUHHH,U,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
161,DUHHH,H,8,18,0.0016148566814695195,0.4444444444444444,0.026790186275073187,0.000318984035845831
162,DHDDD,D,2,17,0.0004037141703673799,0.11764705882352941,0.006891718562818966,5.587739382247472e-06
163,DHDDD,U,11,17,0.0022204279370205892,0.6470588235294118,0.03790445209550431,0.0009296601397214232
164,DHDDD,H,4,17,0.0008074283407347598,0.23529411764705882,0.013783437125637931,4.470191505797978e-05
165,DHDDU,D,7,20,0.0014129995962858296,0.35,0.022238476986971036,0.0001730924505450141
166,DHDDU,U,5,20,0.0010092854259184498,0.25,0.015884626419265024,6.308033911990311e-05
167,DHDDU,H,8,20,0.0016148566814695195,0.4,0.02541540227082404,0.00025837706903512317
168,DHDDH,D,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
169,DHDDH,U,5,18,0.0010092854259184498,0.2777777777777778,0.016743866421920744,7.78769618764236e-05
170,DHDDH,H,6,18,0.0012111425111021397,0.3333333333333333,0.020092639706304892,0.00013457139012245997
171,DHDUD,D,4,14,0.0008074283407347598,0.2857142857142857,0.015188607955915603,6.591251761100079e-05
172,DHDUD,U,6,14,0.0012111425111021397,0.42857142857142855,0.022782911933873405,0.00022245474693712768
