date,signal_source_date,N_risky,N_safe,wealth,p_curr,signal,pJ_t,sigmaJ_t,sigma_curr,sigma_risky_t,target_sigma,p_target,p_floor_applied
2025-05-16,2025-05-15,1233.554754956103,390.44502192256937,280926.5847538257,0.9027501536611306,1,0.22587264036941465,0.008577627627786685,0.018059610829267995,0.02072562185856237,0.01859281303512687,0.9027501536611306,0
2025-05-19,2025-05-16,1233.554754956103,390.44502192256965,281603.157512247,0.9030781296836227,0,0.22596769195055866,0.008580445665843898,0.018599979960528465,0.020724466925358537,0.018599979960528465,0.9030781296836227,0
2025-05-20,2025-05-19,1260.4365315383416,311.7061636779976,278933.97184751445,0.9221440132195726,1,0.22623841368716416,0.008579695545884752,0.01856333177889212,0.020697655858142698,0.018990196594742235,0.9221440132195726,0
2025-05-21,2025-05-20,1260.4365315383416,311.7061636779979,275264.13496843283,0.920929960954002,0,0.2261125187790583,0.008585315069701178,0.018966140191888217,0.020700564588699413,0.018966140191888217,0.920929960954002,0
2025-05-22,2025-05-21,1281.816460546138,248.89846297213862,277544.7375126382,0.9379998817259245,1,0.22515352186974008,0.008582812638372154,0.01898652151353223,0.020686489462135648,0.019326515103252912,0.9379998817259245,0
2025-05-23,2025-05-22,1299.1731928068073,198.88233235402137,274992.49050256,0.9495562103590637,1,0.226476980321963,0.008580165559254602,0.01927839725261355,0.020663516708509123,0.019555421143792665,0.9495562103590638,0
2025-05-27,2025-05-23,1312.612136168193,159.1922808815781,281529.26318263967,0.9605550586264269,1,0.22672446303336458,0.008568015958748747,0.01958541410742447,0.020670038288360826,0.019802338943611743,0.9605550586264269,0
2025-05-28,2025-05-27,1323.4369086329327,127.14326502811345,279725.3989363748,0.9685713438288209,1,0.22604998916392152,0.008573026298729684,0.01983788207980854,0.020706234488741815,0.020011552561595196,0.9685713438288209,0
2025-05-29,2025-05-28,1331.9542689553803,101.9256153439499,281064.37134417915,0.9748051229296947,1,0.22730557991131325,0.008549296829058518,0.01996548838640866,0.020659374265854694,0.020104265562297864,0.9748051229296947,0
2025-05-30,2025-05-29,1331.9542689553803,101.9256153439501,280205.7423322888,0.9745122819006315,0,0.22724701587313545,0.00855124771434596,0.020097741498014614,0.020660822302904742,0.020097741498014614,0.9745122819006315,0
2025-06-02,2025-05-30,1338.8105382713554,81.67671737539742,282380.24106014724,0.9797611494474028,1,0.2276792831111993,0.008555231360032998,0.020099345088311134,0.020657401145048403,0.02021095629965859,0.9797611494474029,0
2025-06-03,2025-06-02,1338.8105382713554,81.67671737539726,281055.10178625747,0.979902955207138,0,0.22788911279177526,0.00853976083597043,0.020205295645665464,0.020649847194534294,0.020205295645665464,0.979902955207138,0
2025-06-04,2025-06-03,1338.8105382713554,81.67671737539723,283106.74694887863,0.9799897216015684,0,0.2282198753735447,0.008558792170236642,0.02020941396238585,0.020651889937691584,0.02020941396238585,0.9799897216015684,0
2025-06-05,2025-06-04,1338.8105382713554,81.67671737539752,283980.6368672056,0.9801798706615005,0,0.22814590549843927,0.008560915774521578,0.02021642131546933,0.020654699456659723,0.02021642131546933,0.9801798706615005,0
2025-06-06,2025-06-05,1338.8105382713557,81.67671737539777,291593.23413976055,0.9805775408605969,0,0.22839194103330662,0.00856541460894111,0.020224379694856687,0.020653902546754855,0.020224379694856687,0.9805775408605969,0
2025-06-09,2025-06-06,1344.1745064457327,64.98989846299305,296191.9001250618,0.9846959979071478,1,0.22722518725083152,0.00858593669761784,0.020278417207341914,0.020704169393452636,0.020363567644564057,0.9846959979071479,0
2025-06-10,2025-06-09,1348.281664559317,52.27852736069514,297075.3683162301,0.9876267275560912,1,0.22682513816123168,0.008585825179376026,0.020377023547703006,0.02071781124781824,0.020445181087726052,0.987626727556091,0
2025-06-11,2025-06-10,1351.7320021209277,41.77573304175789,291115.2161275078,0.989949143025203,1,0.2270117843536823,0.008592660963258204,0.02043902674009068,0.020717752621577577,0.020494771916388058,0.9899491430252029,0
2025-06-12,2025-06-11,1354.4896637754864,33.399619529576206,291176.1985977716,0.9919470916058903,1,0.22583674880472224,0.008598392228167785,0.020529533017865375,0.020752941290265503,0.020574214672345402,0.9919470916058903,0
2025-06-13,2025-06-12,1354.4896637754864,33.39961952957631,289608.87154022866,0.99198365169564,0,0.22552766762583534,0.008586834265408313,0.020574727991124444,0.020752597271675388,0.020574727991124444,0.99198365169564,0
2025-06-16,2025-06-13,1356.6976809674818,26.486427072751876,295010.485603077,0.9938032424113957,1,0.22556022036417586,0.008603298322768672,0.020575727431259593,0.020748940539725827,0.02061037005295284,0.9938032424113957,0
2025-06-17,2025-06-16,1358.33632095134,21.32038546161298,293250.58361204184,0.9950459938438022,1,0.2260913507864958,0.008582323774756716,0.020623166151033524,0.020759947858195762,0.020650522492465972,0.9950459938438023,0
2025-06-18,2025-06-17,1359.648613862141,17.203247240236575,290117.8502520074,0.9959832839517893,1,0.2277090951920832,0.00859629441508584,0.02059318469760422,0.020703566854170706,0.02061526112891752,0.9959832839517893,0
2025-06-20,2025-06-18,1359.6486138621412,17.203247240236934,286263.8123868296,0.9959509683848676,0,0.22741040464453782,0.008605083871977972,0.02062398832421989,0.020713770450003277,0.02062398832421989,0.9959509683848676,0
2025-06-23,2025-06-20,1360.8473662306,13.542035829365059,284620.1930598025,0.9967523704113135,1,0.22690950886459024,0.008610123913149819,0.02063735573957965,0.020728848854062662,0.020655654362476253,0.9967523704113135,0
2025-06-24,2025-06-23,1361.6314524865245,11.114257549078044,290478.0702116541,0.9973707473062505,1,0.22684504611453407,0.008600864171155534,0.020660785407017167,0.020731878104063555,0.020675003946426445,0.9973707473062506,0
2025-06-25,2025-06-24,1362.24712819905,9.199099155748241,289409.69024953333,0.9978338180071675,1,0.2265183012736097,0.008612775587857903,0.020685135223184777,0.02074320496818386,0.020696749172184593,0.9978338180071675,0
2025-06-26,2025-06-25,1211.4355534509812,490.7817710681163,296396.56336504704,0.8874154223108046,-1,0.22690892325784712,0.008584999162510851,0.020677105808276055,0.020723956089727436,0.018258684479123013,0.8874154223108046,0
2025-06-27,2025-06-26,1211.4355534509812,490.7817710681165,304296.3420707414,0.8889806592539461,0,0.22681141516442985,0.008580608848028148,0.018316279535059998,0.020752195346015138,0.018316279535059998,0.8889806592539461,0
2025-06-30,2025-06-27,1242.920187334332,391.0295140093447,299761.36741089175,0.9096711210517147,1,0.22546472407808113,0.00862438647723636,0.018325216556911123,0.02081245557351058,0.018822664360231015,0.9096711210517147,0
2025-07-01,2025-06-30,1268.1528166987237,311.72670189924594,301443.4013065002,0.9274609338664649,1,0.22516497521038006,0.008622946621551882,0.018823997538461125,0.020828134252747738,0.019224824881318447,0.9274609338664649,0
2025-07-02,2025-07-01,1287.9728529481959,248.92154323795353,300526.71457787545,0.9425151699404737,1,0.22542677771543898,0.008643003442521837,0.019230395519482663,0.02081781031177909,0.019547878477941948,0.9425151699404736,0
2025-07-03,2025-07-02,1303.6006996209355,198.92482669656113,305128.94087628287,0.9544733326175252,1,0.22324979438569592,0.008641773062982609,0.01951102560067334,0.02076139350202996,0.019761099180944663,0.9544733326175253,0
2025-07-07,2025-07-03,1316.0287489413308,158.96382246122172,305140.9572622066,0.963793745589146,1,0.22319714248987488,0.008642154120093304,0.01976769759549317,0.02076364849122175,0.019966887774638887,0.963793745589146,0
2025-07-08,2025-07-07,1325.9633837346023,127.2638763543242,299612.27935505565,0.9707990917175944,1,0.22353542285241718,0.0086435864774647,0.019949404601877607,0.020751678704308336,0.020109859422363752,0.9707990917175944,0
2025-07-09,2025-07-08,1333.825660429095,101.5344423454274,303734.1698210485,0.9772675681884786,1,0.22164776283701643,0.00866727114318762,0.020132237758188794,0.020757560892283596,0.020257302385007753,0.9772675681884786,0
2025-07-10,2025-07-09,1333.825660429095,101.53444234542691,303389.5178820527,0.9771467584957872,0,0.2226981546323736,0.008673189146654998,0.020245887484142307,0.020747971915024668,0.020245887484142307,0.9771467584957872,0
2025-07-11,2025-07-10,1340.1119776394155,80.84921326059329,307080.82844275306,0.9819955366904763,1,0.22410075789389028,0.00866496561722558,0.020165899846832255,0.020660783080293683,0.020264876493524542,0.9819955366904763,0
2025-07-14,2025-07-11,1344.981935388764,64.6842816628396,307947.048971341,0.9857180878839568,1,0.22396436230325745,0.008662521731778514,0.02027696634823541,0.020668067628583357,0.020355186604305,0.9857180878839568,0
2025-07-15,2025-07-14,1348.962672881395,51.4112951868264,308827.7776752883,0.9886989814794465,1,0.22611244405141045,0.008640658352492643,0.020262371515117922,0.020573173669310427,0.020324531945956424,0.9886989814794465,0
2025-07-16,2025-07-15,1352.1283167713225,40.98991329135373,304560.52191990486,0.9908753781314121,1,0.22688161489709893,0.008632620234102583,0.020284996950081312,0.02053492370436496,0.02033498230093804,0.9908753781314121,0
2025-07-17,2025-07-16,1354.6586213360667,32.79057804028423,305546.4499054846,0.9925855098400824,1,0.22781174355357484,0.008626494771252482,0.02027367118087402,0.0204755968864977,0.020314056321998758,0.9925855098400823,0
