date,signal_source_date,money,shares,price,wealth,macd_signal,bayes_signal,rule_signal,action,g_today,g_reason,trade_cash,trade_shares
2025-04-24,2025-04-23,12517.707775061665,1285.8279157759985,186.5399932861328,252376.03855103857,0,-1,1,0,0.0,hold_no_trade,0.0,0.0
2025-04-25,2025-04-24,12517.832952139415,1285.8279157759985,188.99000549316406,255526.45781790905,0,1,-1,0,0.0,hold_no_trade,0.0,0.0
2025-04-28,2025-04-25,60787.937303892846,1028.6623326207987,187.6999969482422,253867.85399758845,0,0,-1,-1,0.2,sell_use_conservative_g,48269.97917342391,-257.1655831551997
2025-04-29,2025-04-28,60788.54518326589,1028.6623326207987,187.38999938964844,253549.57906523166,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-04-30,2025-04-29,60789.15306871772,1028.6623326207987,184.4199981689453,250495.0585671084,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-05-01,2025-04-30,30394.880480124208,1188.4671747228485,190.1999969482422,256441.33348549603,0,1,1,1,0.5,buy_use_aggressive_g,-30394.880480124208,159.80484210204986
2025-05-02,2025-05-01,30395.18442892901,1188.4671747228485,189.97999572753906,256180.1732050962,0,1,-1,0,0.0,hold_no_trade,0.0,0.0
2025-05-05,2025-05-02,30395.488380773302,1188.4671747228485,186.35000610351562,251866.35364420412,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-05-06,2025-05-05,30395.792335657112,1188.4671747228485,185.00999450683594,250274.09780268616,0,1,-1,0,0.0,hold_no_trade,0.0,0.0
2025-05-07,2025-05-06,15198.048146790235,1269.0036995815137,188.7100067138672,254671.74481474,0,0,1,1,0.5,buy_use_aggressive_g,-15198.048146790235,80.53652485866517
2025-05-08,2025-05-07,63948.24671511817,1015.202959665211,192.0800018310547,258948.43306650405,0,0,-1,-1,0.2,sell_use_conservative_g,48750.04658784647,-253.80073991630275
2025-05-09,2025-05-08,63948.88619758533,1015.202959665211,193.05999755859375,259943.9671120281,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-05-12,2025-05-09,31974.762843223656,1168.4562329434032,208.63999938964844,275761.4705713662,1,0,1,1,0.5,buy_use_aggressive_g,-31974.762843223656,153.25327327819224
2025-05-13,2025-05-12,31975.08259085209,1168.4562329434032,211.3699951171875,278951.6708427465,1,-1,0,0,0.0,hold_no_trade,0.0,0.0
2025-05-14,2025-05-13,15987.701170839,1244.4976178225422,210.25,277643.3253180285,1,0,0,1,0.5,buy_use_aggressive_g,-15987.701170839,76.04138487913912
2025-05-15,2025-05-14,7993.9305239253545,1283.460090870589,205.1699981689453,271321.43501775846,1,0,0,1,0.5,buy_use_aggressive_g,-7993.9305239253545,38.96247304804685
2025-05-16,2025-05-15,3997.005231615297,1302.9017237457906,205.58999633789062,271860.56584514375,1,1,-1,1,0.5,buy_use_aggressive_g,-3997.005231615297,19.44163287520153
2025-05-19,2025-05-16,3997.045201667613,1302.9017237457906,206.16000366210938,272603.2693404684,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-05-20,2025-05-19,1998.542586059815,1312.6951402907541,204.07000732421875,269880.2494796604,1,0,0,1,0.5,buy_use_aggressive_g,-1998.542586059815,9.793416544963444
2025-05-21,2025-05-20,1998.5625714856758,1312.6951402907541,201.1199951171875,266007.80277711793,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-05-22,2025-05-21,999.2912785556954,1317.6153335380473,203.10000610351562,268606.9735622189,1,1,1,1,0.5,buy_use_aggressive_g,-999.2912785556954,4.920193247293053
2025-05-23,2025-05-22,499.6506357342405,1320.1012812074762,200.99000549316406,265826.8143971578,1,0,0,1,0.5,buy_use_aggressive_g,-499.6506357342405,2.485947669428937
2025-05-27,2025-05-23,249.82781612029893,1321.3139198393535,206.02000427246094,272466.92722668604,1,0,0,1,0.5,buy_use_aggressive_g,-249.82781612029893,1.212638631877234
2025-05-28,2025-05-27,124.91515719923008,1321.9240954765867,204.72000122070312,270749.21759684297,1,1,1,1,0.5,buy_use_aggressive_g,-124.91515719923008,0.6101756372332297
2025-05-29,2025-05-28,62.45820317540104,1322.2277328324546,205.6999969482422,272044.6988116925,1,0,1,1,0.5,buy_use_aggressive_g,-62.45820317540104,0.3036373558679082
2025-05-30,2025-05-29,62.4588277574328,1322.2277328324546,205.00999450683594,271132.3590725251,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-06-02,2025-05-30,31.22972617285519,1322.3788566025744,206.64999389648438,273300.8123719348,0,0,1,1,0.5,buy_use_aggressive_g,-31.22972617285519,0.1511237701197265
2025-06-03,2025-06-02,31.23003847011692,1322.3788566025744,205.7100067138672,272057.79350846173,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-06-04,2025-06-03,31.230350770501623,1322.3788566025744,207.22999572753906,274067.79515471,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-06-05,2025-06-04,31.230663074009332,1322.3788566025744,207.91000366210938,274967.0235820112,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-06-06,2025-06-05,31.230975380640075,1322.3788566025744,213.57000732421875,282451.69306538446,0,0,0,0,0.0,hold_no_trade,0.0,0.0
2025-06-09,2025-06-06,15.615643845196942,1322.4508247293727,216.97999572753906,286960.989943505,1,1,1,1,0.5,buy_use_aggressive_g,-15.615643845196942,0.07196812679822082
2025-06-10,2025-06-09,7.807900000817698,1322.48670497375,217.61000061035156,287794.1405765204,1,0,0,1,0.5,buy_use_aggressive_g,-7.807900000817698,0.03588024437717997
2025-06-11,2025-06-10,3.9039890399088533,1322.5050163672574,213.1999969482422,281961.96944257413,1,0,0,1,0.5,buy_use_aggressive_g,-3.9039890399088533,0.0183113935074615
2025-06-12,2025-06-11,1.9520140398996264,1322.5141704377395,213.24000549316406,282014.8809829708,1,1,-1,1,0.5,buy_use_aggressive_g,-1.9520140398996264,0.00915407048215539
2025-06-13,2025-06-12,1.9520335600400256,1322.5141704377395,212.10000610351562,280507.21565539046,1,0,-1,0,0.0,hold_no_trade,0.0,0.0
2025-06-16,2025-06-13,0.9760265401878131,1322.518686988006,216.10000610351562,285797.2723566618,1,0,0,1,0.5,buy_use_aggressive_g,-0.9760265401878131,0.004516550266640342
2025-06-17,2025-06-16,0.4880181502266075,1322.5209587417235,214.82000732421875,284104.45006148005,1,0,0,1,0.5,buy_use_aggressive_g,-0.4880181502266075,0.0022717537174741006
2025-06-18,2025-06-17,0.2440115152040549,1322.5221069231195,212.52000427246094,281062.6478252406,1,0,0,1,0.5,buy_use_aggressive_g,-0.2440115152040549,0.0011481813960968132
2025-06-20,2025-06-18,0.24401395531920694,1322.5221069231195,209.69000244140625,277319.90784347797,0,0,0,0,0.0,hold_no_trade,0.0,0.0
