Date,price,SMA_30,EMA_30,SMA_100,EMA_100,SMA_300,EMA_300
2012-06-12,10.821000099182129,10.972183354695638,10.717433188326275,9.925425024032593,10.222984670781209,10.041968326568604,9.720137936268479
2012-06-13,10.736499786376953,10.946666685740153,10.718663291426319,9.937325019836425,10.23315328693162,10.046874993642172,9.726891171152921
2012-06-14,10.72249984741211,10.920333353678386,10.718910811167339,9.95150502204895,10.242843317832223,10.052156661351521,9.73350651119451
2012-06-15,10.917499542236328,10.90183334350586,10.73172298736534,9.967180013656616,10.256202847028344,10.057729994455974,9.74137357452369
2012-06-18,11.133000373840332,10.899616686503093,10.757611851008887,9.984610013961792,10.27356517429195,10.06405499458313,9.750620264220146
2012-06-19,11.201499938964844,10.897733338673909,10.786249792167336,9.999965009689332,10.291940120127055,10.070719995498656,9.760260660730077
2012-06-20,11.151000022888184,10.896266682942708,10.80978206511707,10.013790006637572,10.308951207310443,10.077809995015462,9.769501453834119
2012-06-21,11.028499603271484,10.892249997456869,10.823892874030257,10.02800000190735,10.32319969039878,10.084189993540447,9.777866890043004
2012-06-22,11.107999801635742,10.884699980417887,10.84222235323061,10.041859998703003,10.338740286660899,10.090913327534993,9.786704982478835
2012-06-25,11.003499984741211,10.87201665242513,10.852627361715166,10.062165002822876,10.351903845038727,10.097589995066325,9.794789999105161
2012-06-26,11.280500411987305,10.876483345031739,10.88023207463595,10.0841100025177,10.370291895869391,10.105468330383301,9.804661829091089
2012-06-27,11.281000137329102,10.878533363342285,10.90608807868067,10.103080005645753,10.388325722432949,10.113268330891927,9.814471385956455
2012-06-28,11.065500259399414,10.87395003636678,10.916372735501234,10.12216501235962,10.401735119204561,10.119508333206177,9.82278387016538
2012-06-29,11.417499542236328,10.89060001373291,10.948703497226079,10.14424500465393,10.42184926619529,10.126584997177124,9.833379987587778
2012-07-02,11.465999603271484,10.916383330027262,10.98207743955159,10.16616499900818,10.442525510493828,10.133901662826538,9.844227958456107
2012-07-03,11.476499557495117,10.935416634877523,11.013975640709237,10.18843999862671,10.463000244097815,10.141773328781127,9.855073616921482
2012-07-05,11.352999687194824,10.954966608683268,11.035848159837341,10.209199991226196,10.48062399544627,10.146844994227092,9.865026614066155
2012-07-06,11.2524995803833,10.967916584014892,11.049825670840306,10.225929985046387,10.495908660494528,10.151841659545898,9.874245703543345
2012-07-09,11.2524995803833,10.984266567230225,11.062901406939854,10.242804985046387,10.510890658908167,10.156714992523193,9.883403536612049
2012-07-10,10.975000381469727,10.99528325398763,11.057230373038557,10.260319986343383,10.52008095044404,10.15976666132609,9.890656671793828
2012-07-11,10.918499946594238,11.001316579182943,11.048280022945377,10.279539985656738,10.527970435516322,10.16308666229248,9.897486195214428
2012-07-12,10.767999649047852,11.011533228556315,11.030197418177796,10.295969982147216,10.532723489249618,10.165651661554973,9.903270337764816
2012-07-13,10.919500350952148,11.020666567484538,11.023055671905173,10.314034986495972,10.540382437006103,10.169198328653971,9.910022696656425
