antecedent,consequent,support,confidence,lambda,utility
DUUUU,U,0.0016148566814695195,0.2962962962962963,0.0,0.0016148566814695195
DUUUU,H,0.0012111425111021397,0.2222222222222222,0.0,0.0012111425111021397
DUUUH,D,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
DUUUH,U,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
DUUUH,H,0.0014129995962858296,0.3684210526315789,0.0,0.0014129995962858296
DUUHD,D,0.0018167137666532096,0.45,0.0,0.0018167137666532096
DUUHD,U,0.0008074283407347598,0.2,0.0,0.0008074283407347598
DUUHD,H,0.0014129995962858296,0.35,0.0,0.0014129995962858296
DUUHU,D,0.0006055712555510698,0.13043478260869565,0.0,0.0006055712555510698
DUUHU,U,0.0016148566814695195,0.34782608695652173,0.0,0.0016148566814695195
DUUHU,H,0.0024222850222042794,0.5217391304347826,0.0,0.0024222850222042794
DUUHH,D,0.0020185708518368995,0.5,0.0,0.0020185708518368995
DUUHH,U,0.0010092854259184498,0.25,0.0,0.0010092854259184498
DUUHH,H,0.0010092854259184498,0.25,0.0,0.0010092854259184498
DUHDD,D,0.0008074283407347598,0.17391304347826086,0.0,0.0008074283407347598
DUHDD,U,0.0012111425111021397,0.2608695652173913,0.0,0.0012111425111021397
DUHDD,H,0.0026241421073879695,0.5652173913043478,0.0,0.0026241421073879695
DUHDU,D,0.0014129995962858296,0.4375,0.0,0.0014129995962858296
DUHDU,U,0.0004037141703673799,0.125,0.0,0.0004037141703673799
DUHDU,H,0.0014129995962858296,0.4375,0.0,0.0014129995962858296
DUHDH,D,0.0006055712555510698,0.2727272727272727,0.0,0.0006055712555510698
DUHDH,U,0.0010092854259184498,0.45454545454545453,0.0,0.0010092854259184498
DUHDH,H,0.0006055712555510698,0.2727272727272727,0.0,0.0006055712555510698
DUHUD,D,0.0018167137666532096,0.391304347826087,0.0,0.0018167137666532096
DUHUD,U,0.0014129995962858296,0.30434782608695654,0.0,0.0014129995962858296
DUHUD,H,0.0014129995962858296,0.30434782608695654,0.0,0.0014129995962858296
DUHUU,D,0.0012111425111021397,0.3,0.0,0.0012111425111021397
DUHUU,U,0.0012111425111021397,0.3,0.0,0.0012111425111021397
DUHUU,H,0.0016148566814695195,0.4,0.0,0.0016148566814695195
DUHUH,D,0.0008074283407347598,0.16666666666666666,0.0,0.0008074283407347598
DUHUH,U,0.002825999192571659,0.5833333333333334,0.0,0.002825999192571659
DUHUH,H,0.0012111425111021397,0.25,0.0,0.0012111425111021397
DUHHD,D,0.0008074283407347598,0.3333333333333333,0.0,0.0008074283407347598
DUHHD,U,0.0010092854259184498,0.4166666666666667,0.0,0.0010092854259184498
DUHHD,H,0.0006055712555510698,0.25,0.0,0.0006055712555510698
DUHHU,D,0.0012111425111021397,0.3157894736842105,0.0,0.0012111425111021397
DUHHU,U,0.0010092854259184498,0.2631578947368421,0.0,0.0010092854259184498
DUHHU,H,0.0016148566814695195,0.42105263157894735,0.0,0.0016148566814695195
DUHHH,D,0.0004037141703673799,0.125,0.0,0.0004037141703673799
DUHHH,U,0.0016148566814695195,0.5,0.0,0.0016148566814695195
DUHHH,H,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DHDDD,D,0.0010092854259184498,0.38461538461538464,0.0,0.0010092854259184498
DHDDD,U,0.0012111425111021397,0.46153846153846156,0.0,0.0012111425111021397
DHDDD,H,0.0004037141703673799,0.15384615384615385,0.0,0.0004037141703673799
DHDDU,D,0.0014129995962858296,0.3888888888888889,0.0,0.0014129995962858296
DHDDU,U,0.0010092854259184498,0.2777777777777778,0.0,0.0010092854259184498
DHDDU,H,0.0012111425111021397,0.3333333333333333,0.0,0.0012111425111021397
DHDDH,D,0.00020185708518368994,0.2,0.0,0.00020185708518368994
DHDDH,U,0.0006055712555510698,0.6,0.0,0.0006055712555510698
DHDDH,H,0.00020185708518368994,0.2,0.0,0.00020185708518368994
DHDUD,D,0.0014129995962858296,0.5,0.0,0.0014129995962858296
DHDUD,U,0.0006055712555510698,0.21428571428571427,0.0,0.0006055712555510698
DHDUD,H,0.0008074283407347598,0.2857142857142857,0.0,0.0008074283407347598
DHDUU,D,0.0006055712555510698,0.21428571428571427,0.0,0.0006055712555510698
DHDUU,U,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
DHDUU,H,0.0012111425111021397,0.42857142857142855,0.0,0.0012111425111021397
DHDUH,D,0.0010092854259184498,0.35714285714285715,0.0,0.0010092854259184498
DHDUH,U,0.0016148566814695195,0.5714285714285714,0.0,0.0016148566814695195
DHDUH,H,0.00020185708518368994,0.07142857142857142,0.0,0.00020185708518368994
DHDHD,D,0.0008074283407347598,0.4,0.0,0.0008074283407347598
DHDHD,U,0.0008074283407347598,0.4,0.0,0.0008074283407347598
DHDHD,H,0.0004037141703673799,0.2,0.0,0.0004037141703673799
DHDHU,D,0.0008074283407347598,0.36363636363636365,0.0,0.0008074283407347598
DHDHU,U,0.0010092854259184498,0.45454545454545453,0.0,0.0010092854259184498
DHDHU,H,0.0004037141703673799,0.18181818181818182,0.0,0.0004037141703673799
DHDHH,D,0.0004037141703673799,0.15384615384615385,0.0,0.0004037141703673799
DHDHH,U,0.0014129995962858296,0.5384615384615384,0.0,0.0014129995962858296
DHDHH,H,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
DHUDD,D,0.0018167137666532096,0.375,0.0,0.0018167137666532096
DHUDD,U,0.0022204279370205892,0.4583333333333333,0.0,0.0022204279370205892
DHUDD,H,0.0008074283407347598,0.16666666666666666,0.0,0.0008074283407347598
DHUDU,D,0.0006055712555510698,0.16666666666666666,0.0,0.0006055712555510698
DHUDU,U,0.0020185708518368995,0.5555555555555556,0.0,0.0020185708518368995
DHUDU,H,0.0010092854259184498,0.2777777777777778,0.0,0.0010092854259184498
DHUDH,D,0.0,0.0,0.0,0.0
DHUDH,U,0.0014129995962858296,0.5,0.0,0.0014129995962858296
DHUDH,H,0.0014129995962858296,0.5,0.0,0.0014129995962858296
DHUUD,D,0.0012111425111021397,0.375,0.0,0.0012111425111021397
DHUUD,U,0.0006055712555510698,0.1875,0.0,0.0006055712555510698
DHUUD,H,0.0014129995962858296,0.4375,0.0,0.0014129995962858296
DHUUU,D,0.0008074283407347598,0.3076923076923077,0.0,0.0008074283407347598
DHUUU,U,0.0012111425111021397,0.46153846153846156,0.0,0.0012111425111021397
DHUUU,H,0.0006055712555510698,0.23076923076923078,0.0,0.0006055712555510698
DHUUH,D,0.0012111425111021397,0.3,0.0,0.0012111425111021397
DHUUH,U,0.0016148566814695195,0.4,0.0,0.0016148566814695195
DHUUH,H,0.0012111425111021397,0.3,0.0,0.0012111425111021397
DHUHD,D,0.0012111425111021397,0.3333333333333333,0.0,0.0012111425111021397
DHUHD,U,0.0016148566814695195,0.4444444444444444,0.0,0.0016148566814695195
DHUHD,H,0.0008074283407347598,0.2222222222222222,0.0,0.0008074283407347598
DHUHU,D,0.0008074283407347598,0.4,0.0,0.0008074283407347598
DHUHU,U,0.0004037141703673799,0.2,0.0,0.0004037141703673799
