x,predicted_label,score_D,score_U,score_H
-0.2668505571592052,D,1.7439232173784886e-07,5.431776999233971e-08,7.219331071646074e-11
-0.26670533362937743,D,1.7617414944405889e-07,5.491233568902903e-08,7.324923286088347e-11
-0.26656011009954966,D,1.7797418271053573e-07,5.5513409538873676e-08,7.432059925580547e-11
-0.2664148865697219,D,1.797926075498848e-07,5.6121062780522726e-08,7.540763579370828e-11
-0.26626966303989413,D,1.8162961187526732e-07,5.673536743240806e-08,7.651057167104813e-11
-0.2661244395100663,D,1.8348538551982007e-07,5.735639630128007e-08,7.762963943658114e-11
-0.26597921598023855,D,1.8536012025626945e-07,5.798422299083549e-08,7.876507504039425e-11
-0.2658339924504108,D,1.8725400981675302e-07,5.861892191044286e-08,7.991711788365556e-11
-0.265688768920583,D,1.891672499128369e-07,5.926056828395958e-08,8.108601086908964e-11
-0.26554354539075525,D,1.9110003825574078e-07,5.990923815864816e-08,8.227200045219388e-11
-0.2653983218609275,D,1.9305257457676934e-07,6.05650084141892e-08,8.34753366932006e-11
-0.2652530983310997,D,1.95025060647952e-07,6.12279567717928e-08,8.469627330980234e-11
-0.26510787480127196,D,1.9701770030289297e-07,6.189816180341097e-08,8.593506773064669e-11
-0.26496265127144414,D,1.990306994578394e-07,6.257570294104865e-08,8.719198114961415e-11
-0.2648174277416164,D,2.0106426613294983e-07,6.326066048617801e-08,8.846727858088837e-11
-0.2646722042117886,D,2.0311861047380474e-07,6.395311561925684e-08,8.976122891483511e-11
-0.26452698068196084,D,2.0519394477311216e-07,6.465315040934875e-08,9.107410497469476e-11
-0.2643817571521331,D,2.0729048349264985e-07,6.536084782385103e-08,9.240618357410752e-11
-0.2642365336223053,D,2.0940844328542666e-07,6.60762917383267e-08,9.375774557547624e-11
-0.26409131009247755,D,2.115480430180711e-07,6.679956694644595e-08,9.51290759491863e-11
-0.2639460865626498,D,2.1370950379344885e-07,6.753075917003564e-08,9.652046383368983e-11
-0.263800863032822,D,2.1589304897351096e-07,6.826995506923969e-08,9.793220259646881e-11
-0.2636556395029942,D,2.1809890420237663e-07,6.901724225278888e-08,9.936458989589239e-11
-0.26351041597316643,D,2.2032729742964773e-07,6.977270928838407e-08,1.0081792774397174e-10
-0.26336519244333867,D,2.2257845893396936e-07,7.053644571319439e-08,1.0229252257004322e-10
-0.2632199689135109,D,2.248526213468235e-07,7.130854204446813e-08,1.0378868528537564e-10
-0.26307474538368314,D,2.2715001967656948e-07,7.208908979026079e-08,1.0530673134872312e-10
-0.2629295218538554,D,2.2947089133272937e-07,7.287818146028132e-08,1.0684698083283937e-10
-0.2627842983240276,D,2.3181547615052132e-07,7.367591057685512e-08,1.0840975849196325e-10
-0.2626390747941998,D,2.3418401641564514e-07,7.448237168600905e-08,1.0999539383029198e-10
-0.262493851264372,D,2.3657675688931554e-07,7.529766036867598e-08,1.1160422117145395e-10
-0.26234862773454426,D,2.389939448335611e-07,7.612187325202407e-08,1.1323657972900166e-10
-0.2622034042047165,D,2.414358300367721e-07,7.695510802090899e-08,1.148928136779316e-10
-0.26205818067488873,D,2.439026648395137e-07,7.779746342945006e-08,1.1657327222725205e-10
-0.26191295714506097,D,2.4639470416060527e-07,7.864903931273559e-08,1.1827830969361367e-10
-0.2617677336152332,D,2.4891220552345855e-07,7.950993659865467e-08,1.2000828557601298e-10
-0.26162251008540544,D,2.51455429082693e-07,8.038025731986008e-08,1.217635646315926e-10
-0.26147728655557767,D,2.5402463765101913e-07,8.126010462585956e-08,1.2354451695254846e-10
-0.26133206302574985,D,2.566200967263975e-07,8.214958279524232e-08,1.25351518044162e-10
-0.2611868394959221,D,2.592420745194716e-07,8.304879724803651e-08,1.271849489039721e-10
-0.2610416159660943,D,2.6189084198128995e-07,8.395785455820508e-08,1.290451961021092e-10
-0.26089639243626656,D,2.645666728313017e-07,8.487686246627667e-08,1.3093265186279962e-10
-0.2607511689064388,D,2.6726984358564334e-07,8.580592989211366e-08,1.328477141470663e-10
-0.260605945376611,D,2.700006335857136e-07,8.674516694782209e-08,1.3479078673663433e-10
-0.26046072184678326,D,2.727593250270402e-07,8.769468495080209e-08,1.3676227931906818e-10
-0.2603154983169555,D,2.75546202988441e-07,8.865459643694054e-08,1.3876260757415189e-10
-0.2601702747871277,D,2.7836155546148524e-07,8.962501517395034e-08,1.407921932615338e-10
-0.2600250512572999,D,2.812056733802495e-07,9.060605617485091e-08,1.428514643096504e-10
-0.25987982772747215,D,2.84078850651389e-07,9.159783571160258e-08,1.4494085490595598e-10
-0.2597346041976444,D,2.8698138418450457e-07,9.26004713288854e-08,1.4706080558846658e-10
-0.2595893806678166,D,2.8991357392282686e-07,9.361408185803042e-08,1.4921176333864783e-10
-0.25944415713798885,D,2.9287572287421106e-07,9.463878743110478e-08,1.5139418167565582e-10
-0.2592989336081611,D,2.958681371424487e-07,9.56747094951477e-08,1.5360852075196146e-10
-0.2591537100783333,D,2.988911259589041e-07,9.672197082656538e-08,1.558552474503707e-10
-0.2590084865485055,D,3.0194500171446414e-07,9.778069554568266e-08,1.5813483548246558e-10
-0.25886326301867774,D,3.0503007999182105e-07,9.885100913145158e-08,1.6044776548848142e-10
-0.25871803948884997,D,3.081466795980884e-07,9.993303843632677e-08,1.6279452513865101e-10
-0.2585728159590222,D,3.1129512259774297e-07,1.010269117012961e-07,1.6517560923602462e-10
-0.25842759242919444,D,3.144757343459066e-07,1.0213275857108164e-07,1.675915198207999e-10
-0.2582823688993667,D,3.1768884352196835e-07,1.0325071010950427e-07,1.7004276627617117e-10
-0.2581371453695389,D,3.2093478216354945e-07,1.043808988150186e-07,1.725298654357325e-10
-0.25799192183971115,D,3.2421388570081555e-07,1.0552345863641429e-07,1.7505334169244942e-10
-0.2578466983098833,D,3.275264929911409e-07,1.0667852498869361e-07,1.7761372710922497e-10
-0.25770147478005556,D,3.3087294635412027e-07,1.0784623476911864e-07,1.8021156153108015e-10
-0.2575562512502278,D,3.3425359160695106e-07,1.0902672637343795e-07,1.8284739269898167e-10
-0.25741102772040003,D,3.376687781001646e-07,1.1022013971228943e-07,1.8552177636532767e-10
-0.25726580419057227,D,3.4111885875372873e-07,1.1142661622778023e-07,1.8823527641112557e-10
-0.2571205806607445,D,3.4460419009351795e-07,1.126462989102519e-07,1.909884649648866e-10
-0.25697535713091674,D,3.481251322881561e-07,1.1387933231522708e-07,1.937819225232517e-10
-0.256830133601089,D,3.51682049186236e-07,1.1512586258054169e-07,1.9661623807339002e-10
-0.25668491007126115,D,3.552753083539194e-07,1.16386037443667e-07,1.994920092171833e-10
-0.2565396865414334,D,3.589052811129167e-07,1.176600062592153e-07,2.0240984229722494e-10
-0.2563944630116056,D,3.625723425788642e-07,1.1894792001664528e-07,2.0537035252466852e-10
-0.25624923948177786,D,3.66276871700088e-07,1.202499313581552e-07,2.083741641089395e-10
-0.2561040159519501,D,3.700192512967586e-07,1.2156619459677376e-07,2.1142191038934666e-10
-0.2559587924221223,D,3.7379986810045405e-07,1.2289686573465087e-07,2.1451423396862134e-10
-0.25581356889229456,D,3.776191127941249e-07,1.242421024815442e-07,2.1765178684840338e-10
-0.2556683453624668,D,3.8147738005246546e-07,1.2560206427351272e-07,2.2083523056671473e-10
-0.25552312183263903,D,3.8537506858269893e-07,1.269769122918117e-07,2.2406523633744132e-10
-0.2553778983028112,D,3.893125811657816e-07,1.283668094819983e-07,2.2734248519185621e-10
-0.25523267477298345,D,3.932903246980184e-07,1.2977192057323895e-07,2.306676681222081e-10
-0.2550874512431557,D,3.973087102331205e-07,1.3119241209783753e-07,2.340414862274187e-10
-0.2549422277133279,D,4.013681530246768e-07,1.3262845241097034e-07,2.3746465086090255e-10
-0.25479700418350015,D,4.0546907256906687e-07,1.340802117106397e-07,2.409378837805559e-10
-0.2546517806536724,D,4.096118926488117e-07,1.355478620578453e-07,2.444619173009313e-10
-0.2545065571238446,D,4.137970413763656e-07,1.370315773969786e-07,2.480374944476459e-10
-0.2543613335940168,D,4.180249512383591e-07,1.3853153357643603e-07,2.5166536911404497e-10
-0.25421611006418904,D,4.2229605914028503e-07,1.4004790836946041e-07,2.5534630622015296e-10
