lambda,rank,antecedent,consequent,support,confidence,usefulness
0.65,7,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.09832247525563376
0.65,8,UHHUU,H,0.0030278562777553493,0.625,0.09676523399630388
0.65,9,HHUHU,H,0.0030278562777553493,0.625,0.09676523399630388
0.65,10,HUHHH,H,0.004642712959224869,0.4791666666666667,0.09455542063118529
0.7,1,HHHHH,H,0.007468712151796528,0.5967741935483871,0.16033957966366116
0.7,2,HHHDH,H,0.004238998788857489,0.7241379310344828,0.15490088374999236
0.7,3,UHUDD,U,0.0030278562777553493,0.75,0.14351042857874916
0.7,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.13476696160602056
0.7,5,HHUUH,H,0.004037141703673799,0.5555555555555556,0.12680355940190183
0.7,6,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.12671631030411273
0.7,7,UHHUU,H,0.0030278562777553493,0.625,0.1263154836201257
0.7,8,HHUHU,H,0.0030278562777553493,0.625,0.1263154836201257
0.7,9,HHUHH,H,0.005046427129592248,0.5,0.1259430495449633
0.7,10,DHHHH,U,0.0030278562777553493,0.6,0.12275705255677023
0.75,1,HHHDH,H,0.004238998788857489,0.7241379310344828,0.20030039039141104
0.75,2,HHHHH,H,0.007468712151796528,0.5967741935483871,0.19960386957349802
0.75,3,UHUDD,U,0.0030278562777553493,0.75,0.18905134076050958
0.75,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.1731432400227368
0.75,5,UHHUU,H,0.0030278562777553493,0.625,0.164889813657617
0.75,6,HHUHU,H,0.0030278562777553493,0.625,0.164889813657617
0.75,7,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.16330979519525624
0.75,8,HHUUH,H,0.004037141703673799,0.5555555555555556,0.16220495601567989
0.75,9,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.1605747140770541
0.75,10,DHHHH,U,0.0030278562777553493,0.6,0.15991796402805808
0.8,1,HHHDH,H,0.004238998788857489,0.7241379310344828,0.25900592314053633
0.8,2,UHUDD,U,0.0030278562777553493,0.75,0.24904398793384067
0.8,3,HHHHH,H,0.007468712151796528,0.5967741935483871,0.2484832804993538
0.8,4,UDUUD,D,0.004037141703673799,0.6060606060606061,0.2224475584246739
0.8,5,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.2201470306273264
0.8,6,UHHUU,H,0.0030278562777553493,0.625,0.21524400547607703
0.8,7,HHUHU,H,0.0030278562777553493,0.625,0.21524400547607703
0.8,8,HDDHD,U,0.0016148566814695195,0.7272727272727273,0.21428148055148746
0.8,9,UUHHH,H,0.0036334275333064193,0.5806451612903226,0.2104708473811277
0.8,10,DHHHH,U,0.0030278562777553493,0.6,0.2083281952949501
0.85,1,HHHDH,H,0.004238998788857489,0.7241379310344828,0.3349173113981008
0.85,2,UHUDD,U,0.0030278562777553493,0.75,0.3280744144764444
0.85,3,HHHHH,H,0.007468712151796528,0.5967741935483871,0.3093323832832068
0.85,4,DHHUD,H,0.0014129995962858296,0.7777777777777778,0.3018203418426917
0.85,5,HDDHD,U,0.0016148566814695195,0.7272727272727273,0.2908458050771988
0.85,6,UDUUD,D,0.004037141703673799,0.6060606060606061,0.2857917885942339
0.85,7,UHHUU,H,0.0030278562777553493,0.625,0.28097540330530457
0.85,8,HHUHU,H,0.0030278562777553493,0.625,0.28097540330530457
0.85,9,HUDUD,D,0.0014129995962858296,0.7,0.2759654032964946
0.85,10,HHUHD,H,0.0026241421073879695,0.6190476190476191,0.27278064468155033
