,pJ_h_inf
2006-11-06,0.09808090307865582
2006-11-07,0.09806858237995142
2006-11-08,0.09806312972520691
2006-11-09,0.09804599005853677
2006-11-10,0.09805555373461074
2006-11-13,0.09805167640556925
2006-11-14,0.09799149454535387
2006-11-15,0.09796194961229253
2006-11-16,0.0979739051861198
2006-11-17,0.09797796021521134
2006-11-20,0.09798090066186237
2006-11-21,0.09798158407417114
2006-11-22,0.09797493725914763
2006-11-24,0.09796411179580022
2006-11-27,0.09787992932937725
2006-11-28,0.09788041364425497
2006-11-29,0.09789588450456498
2006-11-30,0.09790468521051691
2006-12-01,0.09787099568305567
2006-12-04,0.09788609753875006
2006-12-05,0.09804755519341297
2006-12-06,0.09806526459863447
2006-12-07,0.09809676158712186
2006-12-08,0.09809024958896144
2006-12-11,0.09809302352467131
2006-12-12,0.09809522934251302
2006-12-13,0.09809593875658876
2006-12-14,0.09808363807781503
2006-12-15,0.09807487154439885
2006-12-18,0.09806353315156677
2006-12-19,0.09806731875313844
2006-12-20,0.09806254134540095
2006-12-21,0.09806218331715856
2006-12-22,0.09807946865064542
2006-12-26,0.0980875115680355
2006-12-27,0.09807738791992222
2006-12-28,0.09807860967740337
2006-12-29,0.09805467061884866
2007-01-03,0.09808437182154857
2007-01-04,0.09808307876003013
2007-01-05,0.0980703347017201
2007-01-08,0.09809802121718673
2007-01-09,0.09809512120118222
2007-01-10,0.09809367807144641
2007-01-11,0.09809076740951025
2007-01-12,0.09810035984095021
2007-01-16,0.09809930123281639
2007-01-17,0.09809874866917578
2007-01-18,0.09806440476277789
2007-01-19,0.09806580830400577
2007-01-22,0.09806983003402853
2007-01-23,0.09807130454378589
2007-01-24,0.09805630869612773
2007-01-25,0.09805588167930014
2007-01-26,0.09805346274315596
2007-01-29,0.09805683972498523
2007-01-30,0.09805983611451267
2007-01-31,0.09804726533393092
2007-02-01,0.09800538762940585
2007-02-02,0.09799846531681217
2007-02-05,0.09800104284198949
2007-02-06,0.09795971937613775
2007-02-07,0.09795209413945322
2007-02-08,0.09795748678628206
2007-02-09,0.09795209469048387
2007-02-12,0.09795167060580302
2007-02-13,0.09794064295412053
2007-02-14,0.09797161305333424
2007-02-15,0.09797143671660416
2007-02-16,0.09796947606516894
2007-02-20,0.09795964288355476
2007-02-21,0.09795817229531176
2007-02-22,0.09795784999586028
2007-02-23,0.09795649135284347
2007-02-26,0.09797297080975083
2007-02-27,0.0977873694977334
2007-02-28,0.0977836355724886
2007-03-01,0.09778004812488567
2007-03-02,0.09771401988646641
2007-03-05,0.09775630095448107
2007-03-06,0.09763690014220743
2007-03-07,0.09763538515346437
2007-03-08,0.09766358134198033
2007-03-09,0.09763480458027382
2007-03-12,0.09765066039818045
2007-03-13,0.09760297204416372
2007-03-14,0.09760225975185095
2007-03-15,0.09760238011908763
2007-03-16,0.09760270428788649
2007-03-19,0.09758852996386211
2007-03-20,0.09759212278020324
2007-03-21,0.09751831169484233
2007-03-22,0.09751657648022476
2007-03-23,0.09750541873100498
2007-03-26,0.09750587539159672
2007-03-27,0.09751081804174304
2007-03-28,0.09751192743495699
2007-03-29,0.09750109932246281
2007-03-30,0.09750233258304424
2007-04-02,0.09748609271872263
2007-04-03,0.09745874676916459
2007-04-04,0.09746100643913969
2007-04-05,0.09745989221679836
2007-04-09,0.09746109496059774
2007-04-10,0.0974698808556798
2007-04-11,0.09748094782652698
2007-04-12,0.09747373829473717
2007-04-13,0.09747427953621882
2007-04-16,0.09727467990728714
2007-04-17,0.097445123340647
