,antecedent,consequent,count_xy,count_x,support,confidence,geom_mean,RPF
20,DDDHD,H,3,13,0.0006055712555510698,0.23076923076923078,0.011821472531773597,3.224935680449485e-05
21,DDDHU,D,8,18,0.0016148566814695195,0.4444444444444444,0.026790186275073187,0.000318984035845831
22,DDDHU,U,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
23,DDDHU,H,3,18,0.0006055712555510698,0.16666666666666666,0.010046319853152446,1.6821423765307496e-05
24,DDDHH,D,6,18,0.0012111425111021397,0.3333333333333333,0.020092639706304892,0.00013457139012245997
25,DDDHH,U,9,18,0.0018167137666532096,0.5,0.030138959559457338,0.0004541784416633024
26,DDDHH,H,3,18,0.0006055712555510698,0.16666666666666666,0.010046319853152446,1.6821423765307496e-05
27,DDUDD,D,16,39,0.003229713362939039,0.41025641025641024,0.03640069519166535,0.0005435940965893451
28,DDUDD,U,17,39,0.003431570448122729,0.4358974358974359,0.03867573864114443,0.0006520209464217414
29,DDUDD,H,6,39,0.0012111425111021397,0.15384615384615385,0.013650260696874507,2.8666094937328753e-05
30,DDUDU,D,7,34,0.0014129995962858296,0.20588235294117646,0.017056133254294743,5.989358150346509e-05
31,DDUDU,U,18,34,0.0036334275333064193,0.5294117647058824,0.043858628368186485,0.001018365502414602
32,DDUDU,H,9,34,0.0018167137666532096,0.2647058823529412,0.021929314184093242,0.00012729568780182524
33,DDUDH,D,6,22,0.0012111425111021397,0.2727272727272727,0.01817447644189365,9.008498016462195e-05
34,DDUDH,U,10,22,0.0020185708518368995,0.45454545454545453,0.030290794069822748,0.00041706009335473125
35,DDUDH,H,6,22,0.0012111425111021397,0.2727272727272727,0.01817447644189365,9.008498016462195e-05
36,DDUUD,D,10,27,0.0020185708518368995,0.37037037037037035,0.02734261937001769,0.00027689586444950605
37,DDUUD,U,9,27,0.0018167137666532096,0.3333333333333333,0.02460835743301592,0.00020185708518368994
38,DDUUD,H,8,27,0.0016148566814695195,0.2962962962962963,0.02187409549601415,0.0001417706825981471
39,DDUUU,D,12,31,0.0024222850222042794,0.3870967741935484,0.030621213533637497,0.00036296466513779
40,DDUUU,U,10,31,0.0020185708518368995,0.3225806451612903,0.025517677944697916,0.00021004899602881369
41,DDUUU,H,9,31,0.0018167137666532096,0.2903225806451613,0.022965910150228124,0.0001531257181050052
42,DDUUH,D,6,21,0.0012111425111021397,0.2857142857142857,0.018602169697585123,9.886877641650119e-05
43,DDUUH,U,10,21,0.0020185708518368995,0.47619047619047616,0.031003616162641873,0.00045772581674306107
44,DDUUH,H,5,21,0.0010092854259184498,0.23809523809523808,0.015501808081320937,5.7215727092882633e-05
45,DDUHD,D,8,20,0.0016148566814695195,0.4,0.02541540227082404,0.00025837706903512317
46,DDUHD,U,8,20,0.0016148566814695195,0.4,0.02541540227082404,0.00025837706903512317
47,DDUHD,H,4,20,0.0008074283407347598,0.2,0.01270770113541202,3.2297133629390396e-05
48,DDUHU,D,12,29,0.0024222850222042794,0.41379310344827586,0.03165951415884623,0.00041475510487207635
49,DDUHU,U,9,29,0.0018167137666532096,0.3103448275862069,0.02374463561913467,0.00017497480986790724
50,DDUHU,H,8,29,0.0016148566814695195,0.27586206896551724,0.021106342772564148,0.00012289040144357818
51,DDUHH,D,5,17,0.0010092854259184498,0.29411764705882354,0.017229296407047418,8.730842784761676e-05
52,DDUHH,U,6,17,0.0012111425111021397,0.35294117647058826,0.0206751556884569,0.0001508689633206818
53,DDUHH,H,6,17,0.0012111425111021397,0.35294117647058826,0.0206751556884569,0.0001508689633206818
54,DDHDD,D,4,11,0.0008074283407347598,0.36363636363636365,0.01713506071543754,0.00010676738389881121
55,DDHDD,U,5,11,0.0010092854259184498,0.45454545454545453,0.021418825894296924,0.00020853004667736562
56,DDHDD,H,2,11,0.0004037141703673799,0.18181818181818182,0.00856753035771877,1.3345922987351401e-05
57,DDHDU,D,7,15,0.0014129995962858296,0.4666666666666667,0.025678781349590053,0.00030771991208002514
58,DDHDU,U,4,15,0.0008074283407347598,0.26666666666666666,0.014673589342622886,5.741712645224958e-05
59,DDHDU,H,4,15,0.0008074283407347598,0.26666666666666666,0.014673589342622886,5.741712645224958e-05
60,DDHDH,D,3,9,0.0006055712555510698,0.3333333333333333,0.014207641788266268,6.728569506122998e-05
61,DDHDH,U,2,9,0.0004037141703673799,0.2222222222222222,0.009471761192177512,1.9936502240364437e-05
62,DDHDH,H,4,9,0.0008074283407347598,0.4444444444444444,0.018943522384355024,0.0001594920179229155
63,DDHUD,D,9,19,0.0018167137666532096,0.47368421052631576,0.0293351091068265,0.00040762829667288075
64,DDHUD,U,8,19,0.0016148566814695195,0.42105263157894735,0.02607565253940133,0.0002862903812023524
65,DDHUD,H,2,19,0.0004037141703673799,0.10526315789473684,0.006518913134850333,4.473287206286757e-06
66,DDHUU,D,7,22,0.0014129995962858296,0.3181818181818182,0.021203555848875923,0.00014305161202067283
67,DDHUU,U,7,22,0.0014129995962858296,0.3181818181818182,0.021203555848875923,0.00014305161202067283
68,DDHUU,H,8,22,0.0016148566814695195,0.36363636363636365,0.024232635255858198,0.00021353476779762242
69,DDHUH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
70,DDHUH,U,4,16,0.0008074283407347598,0.25,0.014207641788266268,5.0464271295922484e-05
71,DDHUH,H,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
72,DDHHD,D,8,16,0.0016148566814695195,0.5,0.028415283576532537,0.0004037141703673799
73,DDHHD,U,4,16,0.0008074283407347598,0.25,0.014207641788266268,5.0464271295922484e-05
74,DDHHD,H,4,16,0.0008074283407347598,0.25,0.014207641788266268,5.0464271295922484e-05
75,DDHHU,D,4,18,0.0008074283407347598,0.2222222222222222,0.013395093137536594,3.9873004480728874e-05
76,DDHHU,U,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
77,DDHHU,H,7,18,0.0014129995962858296,0.3888888888888889,0.02344141299068904,0.00021369438338890635
78,DDHHH,D,5,10,0.0010092854259184498,0.5,0.022464254115354573,0.00025232135647961244
79,DDHHH,U,1,10,0.00020185708518368994,0.1,0.004492850823070915,2.0185708518368998e-06
80,DDHHH,H,4,10,0.0008074283407347598,0.4,0.01797140329228366,0.00012918853451756158
81,DUDDD,D,13,36,0.0026241421073879695,0.3611111111111111,0.030783223874576916,0.0003421913704850053
82,DUDDD,U,14,36,0.002825999192571659,0.3888888888888889,0.033151164172621296,0.0004273887667778127
83,DUDDD,H,9,36,0.0018167137666532096,0.25,0.021311462682399404,0.0001135446104158256
84,DUDDU,D,16,38,0.003229713362939039,0.42105263157894735,0.0368765414689498,0.0005725807624047048
85,DUDDU,U,11,38,0.0022204279370205892,0.2894736842105263,0.02535262225990299,0.00018606078973648982
86,DUDDU,H,11,38,0.0022204279370205892,0.2894736842105263,0.02535262225990299,0.00018606078973648982
87,DUDDH,D,6,16,0.0012111425111021397,0.375,0.021311462682399404,0.0001703169156237384
88,DUDDH,U,8,16,0.0016148566814695195,0.5,0.028415283576532537,0.0004037141703673799
89,DUDDH,H,2,16,0.0004037141703673799,0.125,0.007103820894133134,6.3080339119903106e-06
90,DUDUD,D,11,25,0.0022204279370205892,0.44,0.031256811934185794,0.00042987484860718605
91,DUDUD,U,11,25,0.0022204279370205892,0.44,0.031256811934185794,0.00042987484860718605
92,DUDUD,H,3,25,0.0006055712555510698,0.12,0.008524585072959761,8.720226079935405e-06
93,DUDUU,D,15,38,0.0030278562777553493,0.39473684210526316,0.03457175762714044,0.00047179201003805655
94,DUDUU,U,15,38,0.0030278562777553493,0.39473684210526316,0.03457175762714044,0.00047179201003805655
95,DUDUU,H,8,38,0.0016148566814695195,0.21052631578947367,0.0184382707344749,7.15725953005881e-05
96,DUDUH,D,5,15,0.0010092854259184498,0.3333333333333333,0.018341986678278608,0.00011214282510204997
97,DUDUH,U,8,15,0.0016148566814695195,0.5333333333333333,0.02934717868524577,0.00045933701161799664
98,DUDUH,H,2,15,0.0004037141703673799,0.13333333333333333,0.007336794671311443,7.1771408065311975e-06
99,DUDHD,D,3,13,0.0006055712555510698,0.23076923076923078,0.011821472531773597,3.224935680449485e-05
100,DUDHD,U,4,13,0.0008074283407347598,0.3076923076923077,0.01576196337569813,7.644291983287667e-05
101,DUDHD,H,6,13,0.0012111425111021397,0.46153846153846156,0.023642945063547194,0.0002579948544359588
